symbol,control_1,control_2,control_3,Hoxa1KN_1,Hoxa1KN_2,Hoxa1KN_3
TAF5,6.8018,7.0046,6.8521,7.1188,7.2008,7.0002
TAF5L,8.9272,8.8288,8.8554,8.2005,8.2319,8.2178
TAF6,10.1225,10.1029,10.1942,10.1362,10.0928,10.1094
TAF6L,7.3585,6.903,7.1552,7.7445,7.8308,7.8859
TAF7,10.8671,10.9547,10.9193,11.168,11.1635,11.1571
TAF7L,3.1705,3.6702,3.5658,3.7619,3.4107,3.7856
TAF8,8.1821,8.0607,7.9489,8.2161,8.2899,8.1614
TAF9,8.8859,9.0617,9.0718,8.7019,8.721,8.6131
TAF9B,8.7913,8.8288,8.7945,7.9507,8.0582,7.9728
TAFA2,6.083,6.4053,6.7271,7.1941,6.4806,5.3761
TAFA3,2.9547,3.6702,3.7639,2.6149,2.5596,2.2678
TAGLN,14.5358,14.5016,14.5647,12.3957,12.6991,12.2315
TAGLN2,12.7599,12.7699,12.8213,11.7035,11.7232,11.7433
TAGLN3,6.0562,5.789,5.88,4.9342,4.9325,5.2581
TALDO1,11.588,11.6302,11.6201,11.5514,11.5715,11.5963
TAMM41,6.6119,6.7651,5.7691,6.3504,6.1168,6.7166
TANC1,9.8817,9.8517,9.7979,9.5814,9.4169,9.4154
TANC2,10.5435,10.6424,10.5457,10.1936,10.2243,10.0529
TANGO2,9.2092,9.218,9.1732,9.1722,8.889,8.947
TANGO6,8.6367,8.7322,8.5581,8.0697,8.0006,8.0503
TANK,8.8705,8.9737,8.8225,9.2723,9.2292,9.4033
TAOK1,11.4335,11.5453,11.3182,11.5246,11.6348,11.6126
TAOK2,11.0096,10.9532,10.9469,11.3316,11.2139,11.2867
TAOK3,10.2495,10.3241,10.2049,10.0905,10.1589,10.0584
TAP1,7.1709,7.0529,7.0548,6.5599,6.5109,6.5381
TAP2,6.9981,7.8653,8.23,8.2568,8.9594,8.2491
TAPBP,9.6453,9.6934,9.448,9.7476,9.8102,9.8713
TAPT1,7.7592,7.7675,7.7589,7.3988,7.2996,7.2907
TARBP1,7.6734,7.6312,7.8102,6.9431,7.0018,6.9439
TARBP2,8.7458,8.7759,8.9321,8.8321,8.854,8.8636
TARDBP,11.2852,11.3052,11.369,10.9887,11.0201,11.0385
TARS1,11.7696,11.7819,11.7087,11.1061,11.1629,11.0917
TARS2,8.0521,8.2011,8.2631,8.3109,8.1086,8.3961
TARS3,8.0857,8.2536,7.9233,8.5383,8.5852,8.5263
TAS1R3,3.1705,3.2413,3.6682,2.8457,3.5338,3.6977
TASOR,9.8893,9.8904,9.7908,9.6725,9.6372,9.7218
TASOR2,10.5992,10.5425,10.5331,10.3569,10.3955,10.3248
TASP1,6.1608,6.269,6.254,5.8632,5.8106,5.9714
TATDN1,7.9018,7.7383,7.5995,7.8678,7.7695,7.7612
TATDN2,10.2405,10.3363,10.3166,9.4049,9.4948,9.6011
TATDN3,6.5746,7.0529,6.895,7.2952,7.3674,7.2832
TAX1BP1,11.1304,11.0551,11.028,11.4553,11.5212,11.4829
TAX1BP3,11.7726,11.8177,11.8004,12.1255,12.0315,12.14
TAZ,7.3474,7.1223,7.5733,7.2354,7.4082,7.5196
TBC1D1,9.9101,9.9457,10.0617,9.1749,9.1055,9.182
TBC1D10A,9.1437,9.6052,9.4353,9.6669,9.7716,10.0847
TBC1D10B,10.3483,10.5159,10.4715,10.4563,10.4726,10.5242
TBC1D12,7.4439,7.5828,7.6316,7.578,7.9182,7.8958
TBC1D13,9.7475,9.6858,9.7621,9.6092,9.5989,9.569
TBC1D14,9.9992,9.7765,9.953,10.1752,10.0599,10.1284
TBC1D15,9.0583,8.9227,8.9601,9.2244,9.1711,9.2931
TBC1D16,10.7525,10.807,10.7018,11.7753,11.6498,11.8354
TBC1D17,9.2512,9.1364,9.2413,10.1031,10.0941,10.229
TBC1D19,8.1443,7.9183,8.0087,8.4268,8.2986,8.3608
TBC1D2,10.3232,10.3783,10.4953,9.6092,9.5632,9.4795
TBC1D20,10.4053,10.4811,10.4275,10.6084,10.5494,10.5105
TBC1D22A,9.0101,8.9861,9.017,9.227,9.1969,9.22
TBC1D22B,7.6645,7.7235,7.7057,8.081,7.9295,7.7881
TBC1D23,10.1781,10.1782,10.1395,10.302,10.3343,10.2513
TBC1D24,8.9602,9.0705,9.0315,9.024,9.0133,9.0682
TBC1D25,8.157,8.1741,8.2132,8.0233,8.027,8.1532
TBC1D28,8.0108,7.9632,7.9891,5.8893,6.2121,5.8744
TBC1D2B,10.1702,10.141,10.1137,10.4886,10.5031,10.4181
TBC1D30,2.9547,3.8985,3.206,4.0665,3.5338,3.947
TBC1D31,6.6839,6.7795,6.6911,5.8893,6.1557,6.0623
TBC1D32,6.5166,6.5298,6.1158,6.1272,6.2121,6.2748
TBC1D3C,3.9314,2.8627,3.7639,4.6587,5.6565,5.3183
TBC1D3E,2,7.9882,2,7.9131,8.7435,7.6659
TBC1D3L,5.6519,5.5069,5.4903,6.0599,5.1406,5.3761
TBC1D4,8.6725,8.6832,8.7888,8.4922,8.527,8.3245
TBC1D5,9.8111,9.8277,9.9171,9.8558,9.7964,9.7965
TBC1D7,7.7254,7.7457,7.8597,8.1795,8.181,8.0811
TBC1D8,5.6156,5.7309,5.3739,7.586,7.4557,7.5067
TBC1D8B,9.8969,9.8904,9.8987,9.6574,9.8596,9.7204
TBC1D9B,11.4038,11.3649,11.4463,11.1627,11.2231,11.2137
TBCA,10.2316,10.2024,10.0332,10.4617,10.4316,10.4638
TBCB,10.0831,10.1014,10.2081,10.0199,9.9187,10.0672
TBCC,8.3352,8.4192,8.4758,8.7165,8.6614,8.7615
TBCCD1,7.5245,7.4629,7.4422,6.6235,6.5109,6.8035
TBCD,10.0697,10.1256,10.1495,10.2689,10.1838,10.1952
TBCEL,8.8821,8.706,8.7802,9.8189,9.8551,9.89
TBCK,8.543,8.6045,8.4544,8.976,9.0395,9.0055
TBK1,8.6321,8.7831,8.8635,9.4184,9.4209,9.4154
TBKBP1,7.6909,7.753,7.8379,8.0466,7.8954,8.068
TBL1X,10.008,10.0459,9.9287,9.5633,9.5989,9.6132
TBL1XR1,10.4537,10.3241,10.3821,10.0806,10.2671,10.1709
TBL2,9.8291,9.7029,9.8868,9.8206,9.7125,9.6576
TBL3,9.5878,9.6272,9.624,9.3235,9.2062,9.3946
TBP,7.7169,7.6934,7.7236,7.8279,7.7184,7.8557
