"Term","GO","id","level"
"pyrimidine nucleotide transport","biological_process","GO:0006864",8
"amino acid transport","biological_process","GO:0006865",6
"asparagine transport","biological_process","GO:0006867",8
"glutamine transport","biological_process","GO:0006868",8
"lipid transport","biological_process","GO:0006869",6
"lipid transport","biological_process","GO:0006869",5
"cellular ion homeostasis","biological_process","GO:0006873",6
"cellular calcium ion homeostasis","biological_process","GO:0006874",9
"cellular metal ion homeostasis","biological_process","GO:0006875",8
"cellular cadmium ion homeostasis","biological_process","GO:0006876",10
"cellular cobalt ion homeostasis","biological_process","GO:0006877",10
"cellular copper ion homeostasis","biological_process","GO:0006878",10
"cellular iron ion homeostasis","biological_process","GO:0006879",10
"intracellular sequestering of iron ion","biological_process","GO:0006880",11
"intracellular sequestering of iron ion","biological_process","GO:0006880",5
"extracellular sequestering of iron ion","biological_process","GO:0006881",6
"extracellular sequestering of iron ion","biological_process","GO:0006881",11
"cellular zinc ion homeostasis","biological_process","GO:0006882",10
"cellular sodium ion homeostasis","biological_process","GO:0006883",9
"cell volume homeostasis","biological_process","GO:0006884",5
"regulation of pH","biological_process","GO:0006885",9
"intracellular protein transport","biological_process","GO:0006886",6
"exocytosis","biological_process","GO:0006887",6
"endoplasmic reticulum to Golgi vesicle-mediated transport","biological_process","GO:0006888",6
"obsolete regulation of calcium in ER","biological_process","GO:0006889",NA
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","biological_process","GO:0006890",7
"intra-Golgi vesicle-mediated transport","biological_process","GO:0006891",7
"post-Golgi vesicle-mediated transport","biological_process","GO:0006892",7
"Golgi to plasma membrane transport","biological_process","GO:0006893",7
"obsolete Golgi to secretory vesicle transport","biological_process","GO:0006894",NA
"Golgi to endosome transport","biological_process","GO:0006895",7
"Golgi to vacuole transport","biological_process","GO:0006896",6
"endocytosis","biological_process","GO:0006897",6
"receptor-mediated endocytosis","biological_process","GO:0006898",7
"vesicle budding from membrane","biological_process","GO:0006900",6
"vesicle coating","biological_process","GO:0006901",6
"vesicle coating","biological_process","GO:0006901",7
"vesicle targeting","biological_process","GO:0006903",4
"vesicle targeting","biological_process","GO:0006903",6
"vesicle docking involved in exocytosis","biological_process","GO:0006904",6
"vesicle docking involved in exocytosis","biological_process","GO:0006904",7
"obsolete vesicle transport","biological_process","GO:0006905",NA
"vesicle fusion","biological_process","GO:0006906",6
"pinocytosis","biological_process","GO:0006907",7
"phagocytosis","biological_process","GO:0006909",6
"phagocytosis, recognition","biological_process","GO:0006910",7
"phagocytosis, recognition","biological_process","GO:0006910",5
"phagocytosis, engulfment","biological_process","GO:0006911",6
"phagocytosis, engulfment","biological_process","GO:0006911",7
"obsolete phagosome formation","biological_process","GO:0006912",NA
"nucleocytoplasmic transport","biological_process","GO:0006913",7
"autophagy","biological_process","GO:0006914",3
"apoptotic process","biological_process","GO:0006915",6
"obsolete induction of apoptosis by p53","biological_process","GO:0006918",NA
"activation of cysteine-type endopeptidase activity involved in apoptotic process","biological_process","GO:0006919",9
"activation of cysteine-type endopeptidase activity involved in apoptotic process","biological_process","GO:0006919",11
"obsolete commitment to apoptosis","biological_process","GO:0006920",NA
"cellular component disassembly involved in execution phase of apoptosis","biological_process","GO:0006921",5
"obsolete cleavage of lamin involved in execution phase of apoptosis","biological_process","GO:0006922",NA
"obsolete cleavage of cytoskeletal proteins involved in execution phase of apoptosis","biological_process","GO:0006923",NA
"activation-induced cell death of T cells","biological_process","GO:0006924",6
"activation-induced cell death of T cells","biological_process","GO:0006924",10
"inflammatory cell apoptotic process","biological_process","GO:0006925",7
"obsolete virus-infected cell apoptotic process","biological_process","GO:0006926",NA
"obsolete transformed cell apoptotic process","biological_process","GO:0006927",NA
"obsolete movement of cell or subcellular component","biological_process","GO:0006928",4
"substrate-dependent cell migration","biological_process","GO:0006929",6
"substrate-dependent cell migration","biological_process","GO:0006929",7
"substrate-dependent cell migration, cell extension","biological_process","GO:0006930",6
"substrate-dependent cell migration, cell extension","biological_process","GO:0006930",8
"substrate-dependent cell migration, cell attachment to substrate","biological_process","GO:0006931",8
"substrate-dependent cell migration, cell attachment to substrate","biological_process","GO:0006931",5
"substrate-dependent cell migration, cell contraction","biological_process","GO:0006932",8
"negative regulation of cell adhesion involved in substrate-bound cell migration","biological_process","GO:0006933",5
"negative regulation of cell adhesion involved in substrate-bound cell migration","biological_process","GO:0006933",8
"substrate-bound cell migration, adhesion receptor recycling","biological_process","GO:0006934",6
"substrate-bound cell migration, adhesion receptor recycling","biological_process","GO:0006934",8
"chemotaxis","biological_process","GO:0006935",4
"muscle contraction","biological_process","GO:0006936",5
"regulation of muscle contraction","biological_process","GO:0006937",6
"smooth muscle contraction","biological_process","GO:0006939",6
"regulation of smooth muscle contraction","biological_process","GO:0006940",7
"striated muscle contraction","biological_process","GO:0006941",6
"regulation of striated muscle contraction","biological_process","GO:0006942",7
"obsolete chemi-mechanical coupling","biological_process","GO:0006943",NA
"obsolete nuclear fusion during karyogamy","biological_process","GO:0006945",NA
"induction by virus of host cell-cell fusion","biological_process","GO:0006948",7
"syncytium formation","biological_process","GO:0006949",4
"syncytium formation","biological_process","GO:0006949",6
"response to stress","biological_process","GO:0006950",3
"defense response","biological_process","GO:0006952",4
"acute-phase response","biological_process","GO:0006953",7
"inflammatory response","biological_process","GO:0006954",5
"immune response","biological_process","GO:0006955",3
"complement activation","biological_process","GO:0006956",4
"complement activation, alternative pathway","biological_process","GO:0006957",5
"complement activation, classical pathway","biological_process","GO:0006958",5
"complement activation, classical pathway","biological_process","GO:0006958",9
"humoral immune response","biological_process","GO:0006959",4
"male-specific antibacterial humoral response","biological_process","GO:0006962",8
"positive regulation of antibacterial peptide biosynthetic process","biological_process","GO:0006963",8
"positive regulation of antibacterial peptide biosynthetic process","biological_process","GO:0006963",9
"positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria","biological_process","GO:0006964",8
"positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria","biological_process","GO:0006964",10
"positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria","biological_process","GO:0006965",10
"positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria","biological_process","GO:0006965",8
"positive regulation of antifungal peptide biosynthetic process","biological_process","GO:0006967",9
"positive regulation of antifungal peptide biosynthetic process","biological_process","GO:0006967",8
"cellular defense response","biological_process","GO:0006968",5
"obsolete melanotic tumor response","biological_process","GO:0006969",NA
"response to osmotic stress","biological_process","GO:0006970",4
"hypotonic response","biological_process","GO:0006971",5
"hyperosmotic response","biological_process","GO:0006972",5
"intracellular accumulation of glycerol","biological_process","GO:0006973",5
"intracellular accumulation of glycerol","biological_process","GO:0006973",7
"cellular response to DNA damage stimulus","biological_process","GO:0006974",5
"DNA damage induced protein phosphorylation","biological_process","GO:0006975",8
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","biological_process","GO:0006977",10
