"Term","GO","id","level"
"mitochondrion inheritance","biological_process","GO:0000001",6
"mitochondrial genome maintenance","biological_process","GO:0000002",6
"reproduction","biological_process","GO:0000003",2
"obsolete ribosomal chaperone activity","molecular_function","GO:0000005",2
"high-affinity zinc transmembrane transporter activity","molecular_function","GO:0000006",11
"low-affinity zinc ion transmembrane transporter activity","molecular_function","GO:0000007",11
"obsolete thioredoxin","molecular_function","GO:0000008",2
"alpha-1,6-mannosyltransferase activity","molecular_function","GO:0000009",7
"trans-hexaprenyltranstransferase activity","molecular_function","GO:0000010",5
"vacuole inheritance","biological_process","GO:0000011",6
"single strand break repair","biological_process","GO:0000012",8
"single-stranded DNA endodeoxyribonuclease activity","molecular_function","GO:0000014",8
"phosphopyruvate hydratase complex","cellular_component","GO:0000015",5
"phosphopyruvate hydratase complex","cellular_component","GO:0000015",7
"lactase activity","molecular_function","GO:0000016",6
"alpha-glucoside transport","biological_process","GO:0000017",8
"regulation of DNA recombination","biological_process","GO:0000018",7
"regulation of mitotic recombination","biological_process","GO:0000019",7
"regulation of mitotic recombination","biological_process","GO:0000019",9
"obsolete negative regulation of recombination within rDNA repeats","biological_process","GO:0000020",NA
"mitotic spindle elongation","biological_process","GO:0000022",6
"mitotic spindle elongation","biological_process","GO:0000022",8
"maltose metabolic process","biological_process","GO:0000023",6
"maltose biosynthetic process","biological_process","GO:0000024",8
"maltose catabolic process","biological_process","GO:0000025",8
"alpha-1,2-mannosyltransferase activity","molecular_function","GO:0000026",7
"ribosomal large subunit assembly","biological_process","GO:0000027",8
"ribosomal large subunit assembly","biological_process","GO:0000027",7
"ribosomal small subunit assembly","biological_process","GO:0000028",7
"ribosomal small subunit assembly","biological_process","GO:0000028",8
"mannosyltransferase activity","molecular_function","GO:0000030",6
"mannosylphosphate transferase activity","molecular_function","GO:0000031",4
"cell wall mannoprotein biosynthetic process","biological_process","GO:0000032",8
"cell wall mannoprotein biosynthetic process","biological_process","GO:0000032",7
"alpha-1,3-mannosyltransferase activity","molecular_function","GO:0000033",7
"adenine deaminase activity","molecular_function","GO:0000034",4
"acyl binding","molecular_function","GO:0000035",3
"acyl carrier activity","molecular_function","GO:0000036",6
"very long-chain fatty acid metabolic process","biological_process","GO:0000038",6
"obsolete plasma membrane long-chain fatty acid transporter","molecular_function","GO:0000039",2
"transition metal ion transport","biological_process","GO:0000041",8
"obsolete ascorbate stabilization","biological_process","GO:0000044",NA
"autophagosome assembly","biological_process","GO:0000045",6
"obsolete Rieske iron-sulfur protein","molecular_function","GO:0000047",2
"peptidyltransferase activity","molecular_function","GO:0000048",6
"tRNA binding","molecular_function","GO:0000049",6
"urea cycle","biological_process","GO:0000050",5
"obsolete urea cycle intermediate metabolic process","biological_process","GO:0000051",NA
"citrulline metabolic process","biological_process","GO:0000052",6
"argininosuccinate metabolic process","biological_process","GO:0000053",6
"ribosomal subunit export from nucleus","biological_process","GO:0000054",6
"ribosomal large subunit export from nucleus","biological_process","GO:0000055",7
"ribosomal small subunit export from nucleus","biological_process","GO:0000056",7
"obsolete protein import into nucleus, docking","biological_process","GO:0000059",8
"obsolete protein import into nucleus, translocation","biological_process","GO:0000060",7
"obsolete protein import into nucleus, translocation","biological_process","GO:0000060",8
"obsolete protein import into nucleus, substrate release","biological_process","GO:0000061",8
"fatty-acyl-CoA binding","molecular_function","GO:0000062",4
"L-ornithine transmembrane transporter activity","molecular_function","GO:0000064",9
"obsolete DNA replication and chromosome cycle","biological_process","GO:0000067",NA
"mitotic sister chromatid segregation","biological_process","GO:0000070",6
"mitotic sister chromatid segregation","biological_process","GO:0000070",7
"obsolete M phase specific microtubule process","biological_process","GO:0000072",NA
"initial mitotic spindle pole body separation","biological_process","GO:0000073",5
"initial mitotic spindle pole body separation","biological_process","GO:0000073",4
"cell cycle checkpoint signaling","biological_process","GO:0000075",4
"cell cycle checkpoint signaling","biological_process","GO:0000075",6
"DNA replication checkpoint signaling","biological_process","GO:0000076",6
"DNA replication checkpoint signaling","biological_process","GO:0000076",8
"DNA damage checkpoint signaling","biological_process","GO:0000077",6
"DNA damage checkpoint signaling","biological_process","GO:0000077",8
"obsolete cytokinesis after mitosis checkpoint","biological_process","GO:0000078",NA
"regulation of cyclin-dependent protein serine/threonine kinase activity","biological_process","GO:0000079",10
"regulation of cyclin-dependent protein serine/threonine kinase activity","biological_process","GO:0000079",6
"mitotic G1 phase","biological_process","GO:0000080",6
"mitotic G1 phase","biological_process","GO:0000080",5
"G1/S transition of mitotic cell cycle","biological_process","GO:0000082",7
"G1/S transition of mitotic cell cycle","biological_process","GO:0000082",6
"regulation of transcription involved in G1/S transition of mitotic cell cycle","biological_process","GO:0000083",5
"regulation of transcription involved in G1/S transition of mitotic cell cycle","biological_process","GO:0000083",7
"regulation of transcription involved in G1/S transition of mitotic cell cycle","biological_process","GO:0000083",8
"mitotic S phase","biological_process","GO:0000084",5
"mitotic S phase","biological_process","GO:0000084",6
"mitotic G2 phase","biological_process","GO:0000085",6
"mitotic G2 phase","biological_process","GO:0000085",5
"G2/M transition of mitotic cell cycle","biological_process","GO:0000086",6
"mitotic M phase","biological_process","GO:0000087",5
"mitotic prophase","biological_process","GO:0000088",5
"mitotic prophase","biological_process","GO:0000088",6
"mitotic metaphase","biological_process","GO:0000089",6
"mitotic metaphase","biological_process","GO:0000089",5
"mitotic anaphase","biological_process","GO:0000090",6
"mitotic anaphase","biological_process","GO:0000090",5
"mitotic anaphase A","biological_process","GO:0000091",7
"mitotic anaphase A","biological_process","GO:0000091",6
"mitotic anaphase B","biological_process","GO:0000092",7
"mitotic anaphase B","biological_process","GO:0000092",6
"mitotic telophase","biological_process","GO:0000093",6
"mitotic telophase","biological_process","GO:0000093",5
"obsolete septin assembly and septum formation","biological_process","GO:0000094",NA
"S-adenosyl-L-methionine transmembrane transporter activity","molecular_function","GO:0000095",5
"sulfur amino acid metabolic process","biological_process","GO:0000096",5
"sulfur amino acid biosynthetic process","biological_process","GO:0000097",6
"sulfur amino acid catabolic process","biological_process","GO:0000098",6
"sulfur amino acid transmembrane transporter activity","molecular_function","GO:0000099",5
"S-methylmethionine transmembrane transporter activity","molecular_function","GO:0000100",5
"sulfur amino acid transport","biological_process","GO:0000101",6
"L-methionine secondary active transmembrane transporter activity","molecular_function","GO:0000102",7
"sulfate assimilation","biological_process","GO:0000103",5
"succinate dehydrogenase activity","molecular_function","GO:0000104",5
"histidine biosynthetic process","biological_process","GO:0000105",6
"imidazoleglycerol-phosphate synthase activity","molecular_function","GO:0000107",6
"obsolete repairosome","cellular_component","GO:0000108",2
"nucleotide-excision repair complex","cellular_component","GO:0000109",7
"nucleotide-excision repair complex","cellular_component","GO:0000109",5
"nucleotide-excision repair factor 1 complex","cellular_component","GO:0000110",8
"nucleotide-excision repair factor 1 complex","cellular_component","GO:0000110",6
"nucleotide-excision repair factor 2 complex","cellular_component","GO:0000111",8
"nucleotide-excision repair factor 2 complex","cellular_component","GO:0000111",6
"nucleotide-excision repair factor 3 complex","cellular_component","GO:0000112",6
"nucleotide-excision repair factor 3 complex","cellular_component","GO:0000112",8
"nucleotide-excision repair factor 4 complex","cellular_component","GO:0000113",6
"nucleotide-excision repair factor 4 complex","cellular_component","GO:0000113",8
"obsolete regulation of transcription involved in G1 phase of mitotic cell cycle","biological_process","GO:0000114",NA
"obsolete regulation of transcription involved in S phase of mitotic cell cycle","biological_process","GO:0000115",NA
"obsolete regulation of transcription involved in G2-phase of mitotic cell cycle","biological_process","GO:0000116",NA
"regulation of transcription involved in G2/M transition of mitotic cell cycle","biological_process","GO:0000117",5
"regulation of transcription involved in G2/M transition of mitotic cell cycle","biological_process","GO:0000117",8
"regulation of transcription involved in G2/M transition of mitotic cell cycle","biological_process","GO:0000117",7
"histone deacetylase complex","cellular_component","GO:0000118",5
"histone deacetylase complex","cellular_component","GO:0000118",8
"RNA polymerase I transcription regulator complex","cellular_component","GO:0000120",8
"RNA polymerase I transcription regulator complex","cellular_component","GO:0000120",6
"glycerol-1-phosphatase activity","molecular_function","GO:0000121",7
"negative regulation of transcription by RNA polymerase II","biological_process","GO:0000122",8
"histone acetyltransferase complex","cellular_component","GO:0000123",8
"histone acetyltransferase complex","cellular_component","GO:0000123",5
"SAGA complex","cellular_component","GO:0000124",10
"SAGA complex","cellular_component","GO:0000124",7
"transcription factor TFIIIB complex","cellular_component","GO:0000126",8
"transcription factor TFIIIB complex","cellular_component","GO:0000126",7
"transcription factor TFIIIC complex","cellular_component","GO:0000127",8
"transcription factor TFIIIC complex","cellular_component","GO:0000127",7
"flocculation","biological_process","GO:0000128",4
"incipient cellular bud site","cellular_component","GO:0000131",5
"incipient cellular bud site","cellular_component","GO:0000131",4
"establishment of mitotic spindle orientation","biological_process","GO:0000132",6
"establishment of mitotic spindle orientation","biological_process","GO:0000132",8
"polarisome","cellular_component","GO:0000133",4
"mannan polymerase complex","cellular_component","GO:0000136",8
"mannan polymerase complex","cellular_component","GO:0000136",4
"Golgi cis cisterna","cellular_component","GO:0000137",7
"Golgi cis cisterna","cellular_component","GO:0000137",8
"Golgi trans cisterna","cellular_component","GO:0000138",8
"Golgi trans cisterna","cellular_component","GO:0000138",7
"Golgi membrane","cellular_component","GO:0000139",5
"Golgi membrane","cellular_component","GO:0000139",6
"acylglycerone-phosphate reductase activity","molecular_function","GO:0000140",6
"cellular bud neck contractile ring","cellular_component","GO:0000142",5
"cellular bud neck septin ring","cellular_component","GO:0000144",5
"exocyst","cellular_component","GO:0000145",6
"exocyst","cellular_component","GO:0000145",5
"microfilament motor activity","molecular_function","GO:0000146",9
"actin cortical patch assembly","biological_process","GO:0000147",5
"actin cortical patch assembly","biological_process","GO:0000147",8
"1,3-beta-D-glucan synthase complex","cellular_component","GO:0000148",5
"1,3-beta-D-glucan synthase complex","cellular_component","GO:0000148",7
"SNARE binding","molecular_function","GO:0000149",4
"DNA strand exchange activity","molecular_function","GO:0000150",3
"ubiquitin ligase complex","cellular_component","GO:0000151",4
"ubiquitin ligase complex","cellular_component","GO:0000151",5
"nuclear ubiquitin ligase complex","cellular_component","GO:0000152",6
"nuclear ubiquitin ligase complex","cellular_component","GO:0000152",5
"cytoplasmic ubiquitin ligase complex","cellular_component","GO:0000153",5
"rRNA modification","biological_process","GO:0000154",8
"rRNA modification","biological_process","GO:0000154",7
"phosphorelay sensor kinase activity","molecular_function","GO:0000155",4
"phosphorelay response regulator activity","molecular_function","GO:0000156",3
"protein phosphatase type 2A complex","cellular_component","GO:0000159",5
"protein phosphatase type 2A complex","cellular_component","GO:0000159",4
"phosphorelay signal transduction system","biological_process","GO:0000160",7
"phosphorelay signal transduction system","biological_process","GO:0000160",6
"osmosensory signaling MAPK cascade","biological_process","GO:0000161",6
"tryptophan biosynthetic process","biological_process","GO:0000162",7
"protein phosphatase type 1 complex","cellular_component","GO:0000164",6
"protein phosphatase type 1 complex","cellular_component","GO:0000164",4
"MAPK cascade","biological_process","GO:0000165",7
"MAPK cascade","biological_process","GO:0000165",5
"nucleotide binding","molecular_function","GO:0000166",4
"sphingosine hydroxylase activity","molecular_function","GO:0000170",4
"ribonuclease MRP activity","molecular_function","GO:0000171",7
"ribonuclease MRP complex","cellular_component","GO:0000172",6
"ribonuclease MRP complex","cellular_component","GO:0000172",7
"obsolete inactivation of MAPK (mating sensu Saccharomyces)","biological_process","GO:0000174",NA
"3'-5'-exoribonuclease activity","molecular_function","GO:0000175",8
"nuclear exosome (RNase complex)","cellular_component","GO:0000176",6
"nuclear exosome (RNase complex)","cellular_component","GO:0000176",5
"cytoplasmic exosome (RNase complex)","cellular_component","GO:0000177",5
"exosome (RNase complex)","cellular_component","GO:0000178",5
"exosome (RNase complex)","cellular_component","GO:0000178",4
"rRNA (adenine-N6,N6-)-dimethyltransferase activity","molecular_function","GO:0000179",7
"obsolete cytosolic large ribosomal subunit","cellular_component","GO:0000180",2
"obsolete cytosolic small ribosomal subunit","cellular_component","GO:0000181",2
"rDNA binding","molecular_function","GO:0000182",8
"rDNA heterochromatin formation","biological_process","GO:0000183",6
"rDNA heterochromatin formation","biological_process","GO:0000183",8
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","biological_process","GO:0000184",9
"obsolete activation of MAPKKK activity","biological_process","GO:0000185",9
"obsolete activation of MAPKKK activity","biological_process","GO:0000185",7
"obsolete activation of MAPKKK activity","biological_process","GO:0000185",8
"obsolete activation of MAPKK activity","biological_process","GO:0000186",9
"obsolete activation of MAPKK activity","biological_process","GO:0000186",8
"obsolete activation of MAPKK activity","biological_process","GO:0000186",7
"obsolete activation of MAPK activity","biological_process","GO:0000187",10
"obsolete activation of MAPK activity","biological_process","GO:0000187",11
"obsolete activation of MAPK activity","biological_process","GO:0000187",8
"obsolete inactivation of MAPK activity","biological_process","GO:0000188",8
"obsolete inactivation of MAPK activity","biological_process","GO:0000188",10
"obsolete inactivation of MAPK activity","biological_process","GO:0000188",11
"obsolete MAPK import into nucleus","biological_process","GO:0000189",8
"obsolete MAPK import into nucleus","biological_process","GO:0000189",6
"obsolete MAPKKK cascade (pseudohyphal growth)","biological_process","GO:0000190",NA
"obsolete activation of MAPKKK (pseudohyphal growth)","biological_process","GO:0000191",NA
"obsolete activation of MAPKK (pseudohyphal growth)","biological_process","GO:0000192",NA
"obsolete activation of MAPK (pseudohyphal growth)","biological_process","GO:0000193",NA
"obsolete inactivation of MAPK (pseudohyphal growth)","biological_process","GO:0000194",NA
"obsolete nuclear translocation of MAPK (pseudohyphal growth)","biological_process","GO:0000195",NA
"cell wall integrity MAPK cascade","biological_process","GO:0000196",4
"cell wall integrity MAPK cascade","biological_process","GO:0000196",6
"obsolete activation of MAPKKK activity involved in cell wall organization or biogenesis","biological_process","GO:0000197",7
"obsolete activation of MAPKKK activity involved in cell wall organization or biogenesis","biological_process","GO:0000197",8
"obsolete activation of MAPKKK activity involved in cell wall organization or biogenesis","biological_process","GO:0000197",6
"obsolete activation of MAPKK activity involved in cell wall organization or biogenesis","biological_process","GO:0000198",6
"obsolete activation of MAPKK activity involved in cell wall organization or biogenesis","biological_process","GO:0000198",7
"obsolete activation of MAPKK activity involved in cell wall organization or biogenesis","biological_process","GO:0000198",8
"obsolete activation of MAPK activity involved in cell wall organization or biogenesis","biological_process","GO:0000199",8
"obsolete activation of MAPK activity involved in cell wall organization or biogenesis","biological_process","GO:0000199",7
"obsolete activation of MAPK activity involved in cell wall organization or biogenesis","biological_process","GO:0000199",6
"obsolete inactivation of MAPK activity involved in cell wall organization or biogenesis","biological_process","GO:0000200",6
"obsolete inactivation of MAPK activity involved in cell wall organization or biogenesis","biological_process","GO:0000200",8
"obsolete inactivation of MAPK activity involved in cell wall organization or biogenesis","biological_process","GO:0000200",7
"obsolete MAPK import into nucleus involved in cell wall organization or biogenesis","biological_process","GO:0000201",7
"obsolete MAPK import into nucleus involved in cell wall organization or biogenesis","biological_process","GO:0000201",8
"obsolete MAPKKK cascade during sporulation (sensu Saccharomyces)","biological_process","GO:0000202",NA
"obsolete activation of MAPKKK during sporulation (sensu Saccharomyces)","biological_process","GO:0000203",NA
"obsolete activation of MAPKK during sporulation (sensu Saccharomyces)","biological_process","GO:0000204",NA
"obsolete activation of MAPK during sporulation (sensu Saccharomyces)","biological_process","GO:0000205",NA
"obsolete inactivation of MAPK during sporulation (sensu Saccharomyces)","biological_process","GO:0000206",NA
"obsolete nuclear translocation of MAPK during sporulation (sensu Saccharomyces)","biological_process","GO:0000207",NA
"obsolete MAPK import into nucleus involved in osmosensory signaling pathway","biological_process","GO:0000208",8
"obsolete MAPK import into nucleus involved in osmosensory signaling pathway","biological_process","GO:0000208",7
"protein polyubiquitination","biological_process","GO:0000209",10
"NAD+ diphosphatase activity","molecular_function","GO:0000210",8
"obsolete protein degradation tagging activity","molecular_function","GO:0000211",2
"meiotic spindle organization","biological_process","GO:0000212",5
"meiotic spindle organization","biological_process","GO:0000212",4
"tRNA-intron endonuclease activity","molecular_function","GO:0000213",8
"tRNA-intron endonuclease complex","cellular_component","GO:0000214",4
"tRNA-intron endonuclease complex","cellular_component","GO:0000214",7
"tRNA 2'-phosphotransferase activity","molecular_function","GO:0000215",5
"obsolete M/G1 transition of mitotic cell cycle","biological_process","GO:0000216",NA
"DNA secondary structure binding","molecular_function","GO:0000217",7
"obsolete vacuolar hydrogen-transporting ATPase","cellular_component","GO:0000219",2
"vacuolar proton-transporting V-type ATPase, V0 domain","cellular_component","GO:0000220",6
"vacuolar proton-transporting V-type ATPase, V0 domain","cellular_component","GO:0000220",5
"vacuolar proton-transporting V-type ATPase, V1 domain","cellular_component","GO:0000221",6
"vacuolar proton-transporting V-type ATPase, V1 domain","cellular_component","GO:0000221",5
"plasma membrane proton-transporting V-type ATPase, V0 domain","cellular_component","GO:0000222",5
"plasma membrane proton-transporting V-type ATPase, V0 domain","cellular_component","GO:0000222",4
"plasma membrane proton-transporting V-type ATPase, V1 domain","cellular_component","GO:0000223",4
"plasma membrane proton-transporting V-type ATPase, V1 domain","cellular_component","GO:0000223",5
"peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity","molecular_function","GO:0000224",6
"N-acetylglucosaminylphosphatidylinositol deacetylase activity","molecular_function","GO:0000225",5
"microtubule cytoskeleton organization","biological_process","GO:0000226",5
"oxaloacetate secondary active transmembrane transporter activity","molecular_function","GO:0000227",6
"nuclear chromosome","cellular_component","GO:0000228",5
"nuclear chromosome","cellular_component","GO:0000228",6
"obsolete cytoplasmic chromosome","cellular_component","GO:0000229",5
"obsolete nuclear mitotic chromosome","cellular_component","GO:0000230",2
"obsolete cytoplasmic mitotic chromosome","cellular_component","GO:0000231",2
"obsolete nuclear interphase chromosome","cellular_component","GO:0000232",2
"obsolete cytoplasmic interphase chromosome","cellular_component","GO:0000233",2
"phosphoethanolamine N-methyltransferase activity","molecular_function","GO:0000234",7
"astral microtubule","cellular_component","GO:0000235",6
"astral microtubule","cellular_component","GO:0000235",5
"mitotic prometaphase","biological_process","GO:0000236",5
"leptotene","biological_process","GO:0000237",6
"zygotene","biological_process","GO:0000238",6
"pachytene","biological_process","GO:0000239",6
"diplotene","biological_process","GO:0000240",6
"diakinesis","biological_process","GO:0000241",6
"pericentriolar material","cellular_component","GO:0000242",6
"commitment complex","cellular_component","GO:0000243",7
"commitment complex","cellular_component","GO:0000243",8
"spliceosomal tri-snRNP complex assembly","biological_process","GO:0000244",8
"spliceosomal tri-snRNP complex assembly","biological_process","GO:0000244",10
"spliceosomal complex assembly","biological_process","GO:0000245",8
"spliceosomal complex assembly","biological_process","GO:0000245",9
"delta24(24-1) sterol reductase activity","molecular_function","GO:0000246",6
"C-8 sterol isomerase activity","molecular_function","GO:0000247",6
"C-5 sterol desaturase activity","molecular_function","GO:0000248",6
"C-22 sterol desaturase activity","molecular_function","GO:0000249",6
"lanosterol synthase activity","molecular_function","GO:0000250",6
"C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity","molecular_function","GO:0000252",6
"3-keto sterol reductase activity","molecular_function","GO:0000253",6
"C-4 methylsterol oxidase activity","molecular_function","GO:0000254",6
"allantoin metabolic process","biological_process","GO:0000255",5
"allantoin catabolic process","biological_process","GO:0000256",6
"nitrilase activity","molecular_function","GO:0000257",6
"obsolete isoleucine/valine:sodium symporter activity","molecular_function","GO:0000258",2
"obsolete intracellular nucleoside transmembrane transporter activity","molecular_function","GO:0000259",2
"obsolete hydrogen-translocating V-type ATPase activity","molecular_function","GO:0000260",2
"obsolete sodium-translocating V-type ATPase activity","molecular_function","GO:0000261",2
"mitochondrial chromosome","cellular_component","GO:0000262",5
"mitochondrial chromosome","cellular_component","GO:0000262",6
"obsolete heterotrimeric G-protein GTPase, alpha-subunit","molecular_function","GO:0000263",2
"obsolete heterotrimeric G-protein GTPase, beta-subunit","molecular_function","GO:0000264",2
"obsolete heterotrimeric G-protein GTPase, gamma-subunit","molecular_function","GO:0000265",2
"mitochondrial fission","biological_process","GO:0000266",6
"obsolete cell fraction","cellular_component","GO:0000267",2
"peroxisome targeting sequence binding","molecular_function","GO:0000268",6
"toxin export channel activity","molecular_function","GO:0000269",4
"peptidoglycan metabolic process","biological_process","GO:0000270",7
"polysaccharide biosynthetic process","biological_process","GO:0000271",6
"polysaccharide catabolic process","biological_process","GO:0000272",6
"mitochondrial proton-transporting ATP synthase, stator stalk","cellular_component","GO:0000274",5
"mitochondrial proton-transporting ATP synthase, stator stalk","cellular_component","GO:0000274",6
"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)","cellular_component","GO:0000275",5
"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)","cellular_component","GO:0000275",6
"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","cellular_component","GO:0000276",6
"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","cellular_component","GO:0000276",5
"[cytochrome c]-lysine N-methyltransferase activity","molecular_function","GO:0000277",8
"mitotic cell cycle","biological_process","GO:0000278",5
"M phase","biological_process","GO:0000279",4
"nuclear division","biological_process","GO:0000280",6
"mitotic cytokinesis","biological_process","GO:0000281",6
"cellular bud site selection","biological_process","GO:0000282",6
"cellular bud site selection","biological_process","GO:0000282",7
"obsolete shmoo orientation","biological_process","GO:0000284",NA
"1-phosphatidylinositol-3-phosphate 5-kinase activity","molecular_function","GO:0000285",7
"alanine dehydrogenase activity","molecular_function","GO:0000286",5
"magnesium ion binding","molecular_function","GO:0000287",6
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","biological_process","GO:0000288",9
"nuclear-transcribed mRNA poly(A) tail shortening","biological_process","GO:0000289",10
"nuclear-transcribed mRNA poly(A) tail shortening","biological_process","GO:0000289",9
"deadenylation-dependent decapping of nuclear-transcribed mRNA","biological_process","GO:0000290",9
"deadenylation-dependent decapping of nuclear-transcribed mRNA","biological_process","GO:0000290",10
"nuclear-transcribed mRNA catabolic process, exonucleolytic","biological_process","GO:0000291",9
"RNA fragment catabolic process","biological_process","GO:0000292",7
"ferric-chelate reductase activity","molecular_function","GO:0000293",6
"nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay","biological_process","GO:0000294",9
"adenine nucleotide transmembrane transporter activity","molecular_function","GO:0000295",8
"spermine transport","biological_process","GO:0000296",7
"spermine transmembrane transporter activity","molecular_function","GO:0000297",6
"endopolyphosphatase activity","molecular_function","GO:0000298",7
"obsolete integral to membrane of membrane fraction","cellular_component","GO:0000299",2
"obsolete peripheral to membrane of membrane fraction","cellular_component","GO:0000300",2
"retrograde transport, vesicle recycling within Golgi","biological_process","GO:0000301",8
"response to reactive oxygen species","biological_process","GO:0000302",5
"response to superoxide","biological_process","GO:0000303",7
"response to singlet oxygen","biological_process","GO:0000304",6
"response to oxygen radical","biological_process","GO:0000305",6
"extrinsic component of vacuolar membrane","cellular_component","GO:0000306",5
"cyclin-dependent protein kinase holoenzyme complex","cellular_component","GO:0000307",4
"cyclin-dependent protein kinase holoenzyme complex","cellular_component","GO:0000307",5
"cytoplasmic cyclin-dependent protein kinase holoenzyme complex","cellular_component","GO:0000308",5
"nicotinamide-nucleotide adenylyltransferase activity","molecular_function","GO:0000309",7
"xanthine phosphoribosyltransferase activity","molecular_function","GO:0000310",6
"plastid large ribosomal subunit","cellular_component","GO:0000311",5
"plastid small ribosomal subunit","cellular_component","GO:0000312",5
"organellar ribosome","cellular_component","GO:0000313",3
"organellar small ribosomal subunit","cellular_component","GO:0000314",7
"organellar small ribosomal subunit","cellular_component","GO:0000314",4
"organellar large ribosomal subunit","cellular_component","GO:0000315",4
"organellar large ribosomal subunit","cellular_component","GO:0000315",7
"sulfite transport","biological_process","GO:0000316",8
"sulfite transmembrane transporter activity","molecular_function","GO:0000319",5
"re-entry into mitotic cell cycle","biological_process","GO:0000320",6
"re-entry into mitotic cell cycle","biological_process","GO:0000320",4
"re-entry into mitotic cell cycle after pheromone arrest","biological_process","GO:0000321",7
"re-entry into mitotic cell cycle after pheromone arrest","biological_process","GO:0000321",4
"re-entry into mitotic cell cycle after pheromone arrest","biological_process","GO:0000321",9
"storage vacuole","cellular_component","GO:0000322",7
"storage vacuole","cellular_component","GO:0000322",6
"lytic vacuole","cellular_component","GO:0000323",7
"lytic vacuole","cellular_component","GO:0000323",6
"fungal-type vacuole","cellular_component","GO:0000324",7
"fungal-type vacuole","cellular_component","GO:0000324",8
"plant-type vacuole","cellular_component","GO:0000325",6
"plant-type vacuole","cellular_component","GO:0000325",7
"protein storage vacuole","cellular_component","GO:0000326",8
"protein storage vacuole","cellular_component","GO:0000326",7
"lytic vacuole within protein storage vacuole","cellular_component","GO:0000327",5
"lytic vacuole within protein storage vacuole","cellular_component","GO:0000327",8
"fungal-type vacuole lumen","cellular_component","GO:0000328",8
"fungal-type vacuole lumen","cellular_component","GO:0000328",6
"fungal-type vacuole membrane","cellular_component","GO:0000329",6
"fungal-type vacuole membrane","cellular_component","GO:0000329",8
"plant-type vacuole lumen","cellular_component","GO:0000330",7
"plant-type vacuole lumen","cellular_component","GO:0000330",6
"contractile vacuole","cellular_component","GO:0000331",6
"contractile vacuole","cellular_component","GO:0000331",7
"template for synthesis of G-rich strand of telomere DNA activity","molecular_function","GO:0000332",7
"template for synthesis of G-rich strand of telomere DNA activity","molecular_function","GO:0000332",9
"telomerase catalytic core complex","cellular_component","GO:0000333",6
"telomerase catalytic core complex","cellular_component","GO:0000333",7
"3-hydroxyanthranilate 3,4-dioxygenase activity","molecular_function","GO:0000334",6
"negative regulation of transposition, DNA-mediated","biological_process","GO:0000335",8
"negative regulation of transposition, DNA-mediated","biological_process","GO:0000335",5
"positive regulation of transposition, DNA-mediated","biological_process","GO:0000336",8
"positive regulation of transposition, DNA-mediated","biological_process","GO:0000336",5
"regulation of transposition, DNA-mediated","biological_process","GO:0000337",5
"protein deneddylation","biological_process","GO:0000338",7
"RNA cap binding","molecular_function","GO:0000339",6
"RNA 7-methylguanosine cap binding","molecular_function","GO:0000340",7
"RNA trimethylguanosine cap binding","molecular_function","GO:0000341",7
"RNA cap 4 binding","molecular_function","GO:0000342",7
"plastid-encoded plastid RNA polymerase complex A","cellular_component","GO:0000343",7
"plastid-encoded plastid RNA polymerase complex A","cellular_component","GO:0000343",8
"plastid-encoded plastid RNA polymerase complex B","cellular_component","GO:0000344",8
"plastid-encoded plastid RNA polymerase complex B","cellular_component","GO:0000344",7
"cytosolic DNA-directed RNA polymerase complex","cellular_component","GO:0000345",6
"cytosolic DNA-directed RNA polymerase complex","cellular_component","GO:0000345",7
"transcription export complex","cellular_component","GO:0000346",4
"transcription export complex","cellular_component","GO:0000346",7
"THO complex","cellular_component","GO:0000347",7
"THO complex","cellular_component","GO:0000347",4
"mRNA branch site recognition","biological_process","GO:0000348",9
"mRNA branch site recognition","biological_process","GO:0000348",8
"generation of catalytic spliceosome for first transesterification step","biological_process","GO:0000349",8
"generation of catalytic spliceosome for first transesterification step","biological_process","GO:0000349",9
"generation of catalytic spliceosome for second transesterification step","biological_process","GO:0000350",9
"generation of catalytic spliceosome for second transesterification step","biological_process","GO:0000350",8
"trans assembly of SL-containing precatalytic spliceosome","biological_process","GO:0000352",8
"trans assembly of SL-containing precatalytic spliceosome","biological_process","GO:0000352",9
"formation of quadruple SL/U4/U5/U6 snRNP","biological_process","GO:0000353",8
"formation of quadruple SL/U4/U5/U6 snRNP","biological_process","GO:0000353",13
"cis assembly of pre-catalytic spliceosome","biological_process","GO:0000354",9
"cis assembly of pre-catalytic spliceosome","biological_process","GO:0000354",8
"obsolete first U2-type spliceosomal transesterification activity","molecular_function","GO:0000362",2
"obsolete first U12-type spliceosomal transesterification activity","molecular_function","GO:0000363",2
"obsolete second U2-type spliceosomal transesterification activity","molecular_function","GO:0000364",2
"mRNA trans splicing, via spliceosome","biological_process","GO:0000365",11
