,null_mock_1,null_mock_2,null_IR_1,null_IR_2,wt_IR_1,wt_IR_2,wt_IR_3,wt_IR_4,wt_mock_1,wt_mock_2,wt_mock_3,wt_mock_4
  CASKIN1,99,88,104,142,92,62,93,85,91,74,48,67
  CASKIN2,273,244,127,179,130,98,158,121,270,221,175,281
  CASP1,1726,1321,1590,1814,1011,700,1140,1262,2904,2135,1960,1486
  CASP12,21,10,5,8,8,9,5,2,28,17,25,6
  CASP14,0,0,0,0,3,4,0,0,0,0,0,0
  CASP16-PS,4,5,26,17,9,5,11,12,6,4,4,7
  CASP2,3597,3624,3435,3495,1423,983,2038,2175,3985,3228,2535,3275
  CASP3,818,691,535,591,840,545,1259,1399,1242,865,874,755
  CASP4,1567,1237,1341,1936,1422,1033,1426,1484,2182,1887,1412,1516
  CASP6,555,515,249,308,278,189,288,333,802,583,481,560
  CASP7,567,558,326,434,957,597,1390,1642,811,585,533,576
  CASP8,4111,3546,2293,2933,1766,1227,1714,2018,4836,4202,3106,3630
  CASP8AP2,2957,2796,5547,5387,2273,1824,2561,2805,3717,2815,2367,2566
  CASP9,1517,1366,576,681,344,219,299,380,1798,1438,1128,1653
  CASQ1,5,9,19,36,27,33,14,12,9,11,4,12
  CASQ2,1,5,0,7,2,2,1,1,0,2,1,2
  CASR,0,0,1,0,5,6,0,2,0,0,1,1
  CASS4,415,425,307,424,247,201,294,327,408,370,282,483
  CAST,3896,3282,946,1541,2605,1997,3156,3645,4276,3763,3072,3500
  CASZ1,1169,1183,1290,1513,1204,1247,985,959,1302,1191,848,1414
  CAT,4327,5371,1542,2391,1734,926,1200,1478,5829,4690,3920,4641
  CATIP,4,3,2,12,7,7,2,6,3,5,3,7
  CATSPER1,0,1,0,1,2,8,0,0,0,0,0,0
  CATSPER2,167,139,142,260,160,142,165,239,213,237,123,166
  CATSPER3,4,5,5,11,9,4,6,5,7,10,3,10
  CATSPER4,59,50,38,32,52,29,33,19,39,47,35,62
  CATSPERB,0,0,0,3,3,3,0,1,0,0,0,0
  CATSPERD,8,3,12,13,7,15,5,8,3,5,2,8
  CATSPERG1,120,114,56,86,76,74,70,97,136,156,107,121
  CATSPERG2,50,38,34,60,32,32,11,24,52,33,31,47
  CAV1,38,67,5,64,22,10,7,4,34,29,48,21
  CAV2,48,45,5,31,10,4,18,12,26,25,36,37
  CAV3,0,0,0,0,0,1,0,0,0,0,0,0
  CBARP,140,117,118,144,199,179,269,296,133,141,129,151
  CBFA2T2,1736,1581,1593,1791,1294,980,1425,1496,1917,1748,1308,1963
  CBFA2T2-PS1,0,0,0,0,0,0,0,0,0,0,0,7
  CBFA2T3,1280,1076,716,1134,1050,946,1323,1422,1380,1389,936,1789
  CBFB,4269,4022,6530,5502,3302,2038,3594,3925,4991,4063,3242,3676
  CBL,11643,9302,5783,7332,4891,3495,5786,5938,10248,11160,8116,13165
  CBLB,5963,5376,3432,4208,3170,2410,3492,3771,6634,5514,4284,6680
  CBLC,22,15,29,29,7,13,17,15,16,19,15,18
  CBLL1,1333,1309,3039,1777,854,700,1043,1153,1430,1191,966,1171
  CBLN1,17,7,3,5,5,7,1,5,16,13,8,15
  CBLN2,2,10,25,21,20,26,35,22,2,8,8,10
  CBLN3,192,168,130,175,169,193,143,98,185,174,111,200
  CBLN4,0,0,0,0,1,1,0,0,0,0,0,0
  CBR1,305,362,242,317,349,232,368,429,549,407,271,358
  CBR2,34,17,5,28,53,15,40,24,73,44,82,89
  CBR3,31,19,7,15,24,10,10,10,39,30,29,28
  CBR4,688,609,411,625,568,424,502,629,802,717,558,714
  CBS,8,16,70,80,45,32,64,44,11,12,7,16
  CBWD1,356,353,633,727,360,239,450,447,447,350,288,337
  CBX1,2292,2069,4603,4691,1820,1175,2304,2603,2671,2122,1644,2204
  CBX2,156,137,217,162,59,46,73,93,159,128,93,132
  CBX3,3719,3415,5509,5298,1470,1078,1825,1858,4636,3498,2848,3292
  CBX3-PS1,2,0,1,0,2,1,0,0,0,1,1,0
  CBX3-PS2,0,1,0,0,0,1,0,0,2,0,1,0
  CBX3-PS3,10,12,7,6,4,9,6,7,11,15,10,7
  CBX3-PS4,0,0,0,4,0,0,0,1,0,0,0,0
  CBX3-PS5,0,1,0,0,0,1,0,0,0,0,1,0
  CBX3-PS6,25,103,352,316,0,0,40,209,201,120,158,88
  CBX3-PS7,28,0,0,0,71,0,58,50,0,0,0,0
  CBX4,1399,1326,1379,1664,788,578,729,862,1865,1578,1150,1484
  CBX5,4319,3867,10679,10628,3094,2037,4354,4754,5893,4567,3724,4257
  CBX6,1227,1231,1186,1484,408,300,441,520,1010,819,632,1365
  CBX7,8933,8279,5582,6684,3737,3250,3510,4901,8014,7978,5381,8182
  CBX8,370,343,414,299,104,65,122,183,403,305,238,374
  CBY1,165,142,96,109,539,319,767,953,245,155,145,155
  CBY3,0,1,0,1,1,0,0,0,0,2,1,0
  CC2D1A,1332,1119,1295,1466,965,677,909,1051,1361,1243,851,1190
  CC2D1B,3346,2991,4293,5667,2287,1792,3231,3648,3572,3057,2238,2957
  CC2D2A,82,64,46,101,50,50,46,34,66,66,51,67
  CC2D2B,388,420,21,58,29,22,14,24,325,336,230,431
  CCAR1,5019,4398,6447,6833,4658,3818,4808,5430,6201,4926,3792,4349
  CCAR2,3901,3672,3291,4233,1910,1441,2353,2768,4412,3717,2724,3637
  CCBE1,160,130,83,143,165,154,107,101,148,144,91,168
  CCBL1,397,312,327,396,309,314,445,441,389,388,262,355
  CCBL2,511,393,393,457,290,263,290,322,583,486,423,485
  CCDC102A,109,79,39,74,51,52,49,43,83,75,57,78
  CCDC103,22,19,14,21,17,12,10,19,14,18,16,23
  CCDC105,0,0,0,0,1,4,0,0,0,0,0,0
  CCDC106,75,68,125,125,83,48,75,111,97,101,55,85
  CCDC107,430973,304720,218345,294440,225597,140833,296920,246720,345072,265217,271891,214191
  CCDC108,102,80,66,87,109,134,50,65,84,88,66,108
  CCDC109B,37,47,23,44,38,14,19,14,88,44,51,54
  CCDC110,3,6,3,4,2,12,1,5,3,5,4,6
  CCDC112,99,87,60,82,52,51,46,52,147,114,116,125
  CCDC113,0,1,0,1,0,1,0,0,0,0,0,0
  CCDC114,995,803,633,921,625,481,623,548,951,886,642,1040
  CCDC115,766,868,1591,2365,642,437,733,819,1020,706,598,745
  CCDC116,214,215,568,783,300,274,345,376,224,224,181,235
  CCDC117,2006,1710,4509,1804,1311,887,1842,1929,2148,1736,1556,1838
  CCDC12,1448,1382,1184,1674,857,598,1096,1294,1748,1472,1249,1481
  CCDC120,2,4,11,20,15,9,6,6,5,2,4,4
  CCDC121,0,0,0,0,2,2,0,0,0,0,0,0
  CCDC122,84,93,29,99,356,298,396,506,165,101,99,58
  CCDC124,505,475,1590,1796,852,620,748,1087,842,533,493,467
  CCDC125,1059,991,356,655,359,253,323,345,1043,917,689,973
  CCDC126,115,82,117,131,73,50,68,62,126,115,96,108
  CCDC127,1774,1555,1875,2240,992,806,1180,1265,2028,1658,1303,1580
  CCDC129,1,0,0,0,1,7,0,1,0,0,0,0
  CCDC13,1,1,9,2,10,3,5,8,2,0,0,1
  CCDC130,449,447,661,765,491,400,509,589,676,553,346,452
  CCDC134,1387,1175,1706,1686,660,461,784,952,1288,1138,865,1178
  CCDC136,5,1,0,3,13,13,8,3,9,5,1,5
  CCDC137,1606,1311,3187,3159,1549,1151,1988,2155,1810,1527,1109,1476
  CCDC138,137,120,80,108,61,63,67,63,157,126,120,123
  CCDC14,234,217,201,346,166,133,173,228,311,212,162,209
  CCDC141,756,666,445,766,595,591,523,607,764,792,502,841
  CCDC142,368,287,356,383,178,101,372,372,259,365,286,356
  CCDC144B,1209,1053,701,1078,950,1035,736,708,1188,1185,831,1322
  CCDC146,46,43,14,34,25,22,33,22,61,54,33,44
  CCDC148,287,265,89,169,175,119,174,144,419,323,427,386
  CCDC149,5,1,1,5,6,7,0,1,1,0,0,1
  CCDC15,745,600,809,865,799,633,852,1021,898,763,552,754
  CCDC150,16,24,20,40,31,28,17,21,28,17,19,17
  CCDC151,0,1,1,2,5,7,0,1,3,4,4,0
  CCDC152,15,17,4,2,1,3,3,3,15,11,15,20
  CCDC153,28,44,38,37,25,9,26,24,26,33,30,29
  CCDC154,10,18,30,29,13,17,12,22,20,14,10,20
  CCDC155,13,7,22,25,13,26,9,30,19,25,14,13
  CCDC157,596,573,282,449,345,287,324,395,626,621,394,687
  CCDC158,34,25,14,33,40,42,25,22,31,35,24,34
  CCDC159,6,3,1,11,25,28,23,32,5,6,5,3
  CCDC160,0,0,0,1,6,5,0,1,0,2,0,0
  CCDC162,46,31,35,52,33,45,19,22,40,34,22,40
  CCDC163,488,417,353,340,239,147,324,474,563,531,364,445
  CCDC166,216,233,404,439,126,101,180,219,279,205,163,205
  CCDC167,1768,1443,1518,1588,900,579,1101,1328,1906,1766,1239,1639
  CCDC169,63,72,51,65,66,66,48,60,67,73,44,71
  CCDC17,482,528,361,776,437,328,546,673,674,499,383,473
  CCDC170,57,35,64,88,62,71,38,42,60,50,39,75
  CCDC171,1257,1116,1246,1651,1181,1001,1174,1485,1560,1341,954,1269
  CCDC172,0,0,0,0,1,0,0,0,0,0,0,0
  CCDC173,330,309,192,320,226,229,204,209,393,313,212,361
  CCDC174,1744,1738,2053,2497,1394,1259,1299,1482,2121,1880,1326,1798
  CCDC175,0,1,0,2,3,5,2,0,5,1,2,7
  CCDC177,0,1,0,1,5,4,1,3,0,1,0,1
  CCDC178,0,0,0,0,3,1,0,2,0,0,0,0
  CCDC18,270,223,198,242,219,158,198,216,384,237,223,211
  CCDC180,68,62,10,40,25,22,19,18,58,59,47,35
  CCDC181,314,285,244,318,127,75,98,138,410,300,223,250
  CCDC182,1,0,0,1,3,4,0,0,0,0,0,0
  CCDC183,2,7,13,13,10,19,7,15,2,6,3,9
  CCDC184,1,2,1,1,14,13,7,2,2,3,5,0
  CCDC185,0,0,0,0,3,3,0,0,0,0,0,0
  CCDC186,1913,1797,1490,1859,1240,1079,1147,1251,2305,1874,1383,1899
  CCDC187,0,0,0,0,3,6,0,0,0,1,0,0
  CCDC188,16,15,18,27,14,9,11,7,13,25,12,25
  CCDC189,53,68,58,83,54,60,61,62,77,59,35,58
  CCDC190,3,3,0,2,3,8,0,1,3,4,2,0
  CCDC191,477,444,513,691,445,421,461,523,700,598,404,521
  CCDC22,999,862,1372,1503,642,427,868,949,1028,896,734,877
  CCDC24,8,4,40,16,13,20,8,12,10,9,2,6
  CCDC25,1098,1010,1768,1885,1232,950,1427,1478,1320,1074,882,1046
  CCDC27,1,3,1,1,1,6,2,3,2,5,2,2
  CCDC28A,316,264,105,149,198,145,257,288,389,321,262,226
  CCDC28B,537,506,184,242,155,110,105,103,481,414,370,398
  CCDC3,36,26,19,41,44,37,16,29,31,51,27,43
  CCDC30,1241,1081,782,959,674,531,767,579,1162,1196,795,1340
  CCDC32,402,406,495,577,248,173,286,307,556,375,317,382
  CCDC33,0,0,0,1,4,14,0,3,1,0,0,0
  CCDC34,1070,795,577,861,1275,1424,749,1129,1205,1049,732,933
  CCDC36,148,92,78,127,91,111,79,59,103,110,80,192
  CCDC38,104,105,233,272,73,67,110,88,127,104,70,98
  CCDC39,133,138,156,113,83,55,116,103,147,148,115,148
  CCDC40,27,21,26,30,32,24,15,29,33,37,23,26
  CCDC42,0,0,0,0,1,1,0,0,0,0,0,0
  CCDC43,708,671,1399,1512,584,440,741,748,870,620,563,633
  CCDC47,2836,2604,3629,4612,2359,1788,2261,2617,3947,3048,2378,3295
  CCDC50,13404,12527,13635,16311,4982,3264,5402,5976,15334,12585,10560,12346
  CCDC50-PS,31,24,15,21,25,26,19,20,26,29,18,29
  CCDC51,339,276,481,476,184,129,275,291,333,303,233,254
  CCDC53,1078,818,1006,1155,689,458,704,786,1120,991,787,953
  CCDC54,0,0,0,0,1,2,0,1,0,0,0,0
  CCDC57,34,34,107,221,121,130,81,81,53,42,30,44
  CCDC58,343,336,767,965,712,500,974,1027,463,310,290,299
  CCDC59,1486,1498,2401,2648,1166,949,1347,1466,1796,1499,1036,1187
  CCDC6,2454,2181,2406,2536,1631,1241,1672,1936,2931,2623,1823,2730
  CCDC60,317,230,161,298,210,207,170,137,280,307,184,364
  CCDC61,472,391,436,476,339,218,361,483,544,441,361,539
  CCDC62,575,464,231,454,363,351,399,413,558,554,424,553
  CCDC63,420,323,233,308,325,280,281,335,345,378,206,456
  CCDC64,251,175,122,187,307,261,356,448,248,230,167,174
  CCDC64B,33,20,11,29,16,12,16,19,24,27,7,26
  CCDC65,0,1,0,2,2,7,2,2,1,4,2,4
  CCDC66,891,840,908,1330,825,581,759,964,1239,913,722,850
  CCDC67,48,43,30,41,53,57,23,32,56,40,44,54
  CCDC68,0,0,0,0,0,5,1,2,2,1,1,0
  CCDC69,881,785,307,401,282,165,260,367,1178,971,758,816
  CCDC70,0,0,0,1,4,2,0,0,0,0,0,0
  CCDC71,1389,1300,1574,1763,909,595,1061,1378,1642,1306,1088,1250
  CCDC71L,1548,1617,1151,1024,479,289,481,640,2137,1659,1339,1434
  CCDC73,159,174,301,363,125,117,171,167,190,179,131,201
  CCDC74A,79,89,184,157,82,65,109,80,113,102,82,141
  CCDC77,1997,1704,1784,2090,1512,1202,1634,1756,2030,2039,1457,2025
  CCDC78,337,257,238,337,235,246,233,232,319,309,218,367
  CCDC79,586,554,309,509,361,247,316,397,861,702,598,652
  CCDC7A,10,9,5,12,11,16,15,13,19,16,12,21
  CCDC7B,199,171,193,228,227,229,162,226,245,224,161,198
  CCDC8,304,258,237,290,211,240,226,156,290,276,193,320
  CCDC80,62,25,6,62,62,42,41,19,32,37,24,5
  CCDC81,1,4,0,3,4,11,2,1,3,2,0,1
  CCDC82,1780,1557,767,937,719,585,478,665,2340,1971,1498,1636
  CCDC83,1,0,0,2,3,2,1,0,0,0,0,0
  CCDC84,490,513,695,888,363,266,448,519,542,444,334,469
  CCDC85A,20,21,15,22,16,16,13,5,17,20,11,29
  CCDC85B,152,142,260,401,204,106,187,213,211,142,134,156
  CCDC85C,14,19,124,117,28,29,36,45,25,21,12,17
  CCDC86,645,676,2067,2728,1253,1144,1448,1485,824,572,469,729
  CCDC87,2,1,0,0,2,4,0,1,2,0,1,3
  CCDC88A,1480,1320,1007,1834,1419,945,1283,1174,1956,1670,1434,1425
  CCDC88B,2264,1652,1280,1969,1292,1034,1120,1252,2242,2037,1384,2483
  CCDC88C,11795,9588,5772,7419,6384,4866,5686,7002,11925,11596,7922,11186
  CCDC89,2,3,0,4,2,3,1,3,4,4,5,2
  CCDC9,1871,1769,1941,3790,2585,2270,2842,3399,2010,1921,1374,2087
  CCDC90B,278,285,468,520,242,173,298,318,402,301,253,217
  CCDC91,512,424,533,721,522,411,520,581,789,604,496,440
  CCDC92,39,40,25,27,28,22,14,24,65,62,42,38
  CCDC92B,1,2,0,7,8,9,2,3,22,23,5,15
  CCDC93,3624,3100,2532,2903,1830,1458,1803,2142,4182,3693,2690,3749
  CCDC94,598,546,780,835,435,372,515,568,723,528,430,471
  CCDC96,14,45,14,13,17,16,16,20,41,21,13,37
  CCDC97,1735,1522,1406,1817,1333,974,1217,1442,1959,1825,1267,2212
  CCER1,0,0,0,0,1,1,0,0,0,0,0,0
  CCER2,5,6,9,9,10,10,6,9,7,10,4,8
  CCHCR1,845,760,624,853,883,778,791,732,982,837,556,995
  CCIN,5,0,1,1,9,6,5,4,2,2,1,0
  CCK,0,0,1,1,4,8,0,0,0,1,0,0
  CCKAR,93,70,58,87,110,117,64,60,93,102,62,150
  CCKBR,0,0,0,0,3,1,0,2,0,1,0,0
  CCL1,0,0,0,0,3,3,0,0,1,2,0,0
  CCL11,5,5,4,10,6,6,10,3,9,8,5,12
  CCL12,0,2,0,4,2,0,1,0,1,0,0,0
  CCL17,4,6,20,18,9,10,5,9,1,3,11,6
  CCL19,13,1,3,15,14,22,8,7,8,8,5,7
  CCL19-PS1,0,0,0,0,2,2,0,0,2,0,0,0
  CCL19-PS3,0,0,0,0,0,0,0,0,0,0,0,0
  CCL2,2,4,0,1,0,3,6,0,0,0,1,2
  CCL20,0,0,0,0,1,1,0,0,0,0,0,0
  CCL21A,13,8,0,23,16,12,18,10,6,7,3,1
  CCL21B,0,0,0,0,0,0,0,0,0,0,0,0
  CCL21C,0,0,0,0,0,0,0,0,0,0,0,0
  CCL22,31,32,324,470,124,111,315,559,59,50,41,51
  CCL24,98,95,34,81,59,53,107,61,192,121,130,186
  CCL25,710,567,557,734,464,373,468,482,681,691,531,863
  CCL26,0,0,0,0,2,0,0,0,0,1,0,0
  CCL27A,100,72,48,79,44,34,57,74,93,60,48,69
  CCL27B,0,0,0,0,0,0,0,0,0,0,0,0
  CCL28,88,94,58,105,86,93,49,50,101,130,65,122
  CCL3,19,20,8,39,12,20,14,16,52,25,36,15
  CCL4,25,16,5,20,9,14,18,7,43,28,24,27
  CCL5,296,221,101,313,226,295,352,290,397,262,251,511
  CCL6,239,296,88,258,311,168,274,136,634,372,362,250
  CCL7,0,0,0,0,0,1,4,0,0,1,0,0
  CCL8,1,1,0,0,1,0,0,0,2,3,0,0
  CCL9,214,223,124,247,176,145,241,147,259,184,164,205
  CCM2,6466,6071,2894,3399,2413,1635,2689,3331,6160,5404,4152,5940
  CCM2L,31,26,2,17,25,15,7,9,19,28,13,18
  CCNA1,0,0,0,0,0,0,0,0,0,0,0,0
  CCNA2,402,399,546,538,245,139,242,212,1245,604,591,356
  CCNB1,304,217,148,199,152,69,125,148,636,327,328,225
  CCNB1IP1,4,6,2,4,3,2,1,1,9,3,0,9
  CCNB2,161,107,140,133,80,54,79,49,414,202,186,120
  CCNB2-PS,442,427,370,425,230,174,287,347,466,396,326,453
  CCNB3,2,1,2,3,8,1,3,4,3,2,3,3
  CCNC,1327,1210,1631,1570,633,396,1030,902,1484,1198,997,1175
  CCND1,598,556,466,846,261,164,285,235,824,478,553,767
  CCND2,4400,4232,26055,23613,10513,7645,10670,10988,6380,4618,4037,6553
  CCND3,4623,4346,3075,2160,2683,2494,2459,1459,4186,5460,3989,7275
  CCND3-PS,1,3,18,9,9,4,5,2,6,3,2,4
  CCNDBP1,1675,2068,942,1339,772,547,956,1019,1899,1699,1167,1710
  CCNE1,628,666,183,186,135,94,129,195,827,716,493,662
  CCNE2,293,318,462,411,140,120,167,143,509,303,305,289
  CCNF,259,200,313,300,1620,1165,2535,2667,512,312,265,211
  CCNG1,3235,2916,2891,3043,31376,20365,43349,46143,5196,3938,3559,3135
  CCNG2,3556,3376,868,898,529,345,544,650,3459,2771,2241,3003
  CCNH,1051,1027,1511,1600,541,381,667,685,1282,992,842,1028
  CCNI,6296,6263,3145,3668,1660,997,1769,1948,7052,5653,4945,6075
  CCNJ,1086,1122,729,892,338,278,357,454,1237,1101,750,1329
  CCNJL,17,23,12,21,17,19,15,13,31,20,11,15
  CCNK,1199,1159,1068,1277,926,744,963,1099,1285,1250,877,1379
  CCNL1,7660,6454,9535,8614,4172,3520,5613,5744,8322,7658,5804,6841
  CCNL2,8930,7209,9532,8118,3701,2899,6208,6671,7967,7347,5500,6944
  CCNO,0,0,3,4,14,12,22,10,7,2,0,0
  CCNT1,5674,5110,8671,7780,3985,3242,4753,5001,6140,5355,4182,5876
  CCNT2,8847,7700,8789,8420,4107,3116,5187,5742,8923,8561,6156,8286
  CCNY,3215,3034,4920,4603,1811,1236,2164,2537,3803,3104,2626,2807
  CCNYL1,916,1132,675,820,476,357,829,752,1088,930,775,1111
  CCP110,720,649,685,809,440,299,503,687,828,709,498,572
  CCPG1,1459,1228,580,724,1065,786,640,808,2091,1637,1362,1537
  CCPG1OS,579,512,271,403,335,300,287,345,523,507,367,587
  CCR1,394,323,336,456,118,172,160,111,716,404,365,219
  CCR10,7,5,2,10,12,8,4,12,23,20,15,9
  CCR1L1,24,15,7,16,12,14,13,7,18,20,23,20
  CCR2,1031,605,371,1421,400,370,628,501,1062,603,677,680
  CCR3,1661,1575,1050,2036,1479,659,1266,1168,2590,2218,2648,2038
  CCR4,96,92,47,91,103,111,61,58,121,102,61,87
  CCR5,571,488,370,645,424,434,494,440,604,466,401,741
  CCR6,2997,2412,1527,1837,1867,1312,1661,2754,3956,3742,2786,3039
  CCR7,3900,3555,3161,2630,1564,1753,2780,2903,3714,3385,2792,3749
  CCR8,8,3,3,1,8,6,1,6,2,2,2,3
  CCR9,534,512,372,519,214,238,224,279,489,422,337,586
  CCRL2,80,132,88,115,133,102,168,202,173,139,91,106
  CCS,303,231,190,270,281,172,442,452,336,273,201,242
  CCSAP,277,228,141,153,126,86,91,98,292,246,142,229
  CCSER1,186,131,141,184,125,139,85,103,133,167,121,155
  CCSER2,3660,3399,2437,2675,2269,1663,3001,3256,4140,3566,2773,3296
  CCT2,6106,5642,17915,15100,5624,3884,7617,8075,7407,5140,4864,5108
  CCT3,4956,4402,25842,22544,5321,3893,7618,7947,5632,4511,3788,3971
  CCT3-PS1,1,0,5,2,1,1,0,3,1,1,2,0
  CCT4,5258,4733,14372,12776,4852,3245,6419,6568,6973,5207,4469,4667
  CCT5,7488,7014,29297,26845,7386,5012,9962,11223,10568,7302,6827,6092
  CCT6B,15,21,6,12,17,11,21,20,17,6,11,13
  CCT7,4519,4150,14919,10855,3664,2476,4977,5441,5812,4379,4007,4214
  CCT8,4209,4053,19531,17116,4885,3461,6182,6786,6077,4399,3773,3939
  CCT8L1,9,2,1,5,3,3,0,0,3,10,3,8
  CCZ1,2544,2420,3189,3877,1937,1439,2422,2456,3053,2366,1905,2310
  CD101,66,49,18,37,44,61,35,34,122,80,51,46
  CD109,3,1,2,3,16,9,16,12,8,2,1,3
  CD14,205,162,285,396,520,257,410,324,472,424,362,228
  CD151,534,491,380,465,659,454,993,1211,616,423,432,443
  CD160,264,191,245,235,102,111,113,105,272,179,151,214
  CD163,1203,621,547,789,1451,512,784,689,1665,1710,1096,1566
  CD163L1,34,7,13,42,27,47,19,18,21,32,28,7
  CD164,5286,4513,5455,5376,2290,1599,3012,2970,6401,5702,4643,5863
  CD164L2,2,0,0,1,11,8,2,1,0,0,0,0
  CD177,21,22,13,57,29,42,41,32,234,71,47,21
  CD180,13055,11669,7011,11734,2296,1340,1890,2549,15821,12154,8926,11853
  CD19,38010,34314,36343,36941,14652,9420,22754,27102,43757,38670,27179,32995
  CD1D1,2065,1610,1022,1257,494,284,701,785,3615,2732,2159,1963
  CD1D2,17,19,36,55,13,14,32,34,57,32,30,33
  CD2,5903,5589,1512,1790,626,451,469,653,6582,5372,4303,5160
  CD200,1558,1680,1360,1703,500,372,673,650,1470,1392,1034,1560
  CD200R1,153,138,65,123,176,111,162,122,218,160,223,131
  CD200R2,237,187,128,186,178,174,128,133,234,255,168,258
  CD200R3,177,126,130,218,265,215,141,100,216,151,131,147
  CD200R4,48,21,31,44,38,39,43,21,75,61,94,55
  CD207,5,11,6,13,2,6,8,3,6,4,7,16
  CD209A,117,95,59,88,26,21,50,47,50,26,28,62
  CD209B,14,23,2,18,6,10,12,3,38,32,14,59
  CD209C,1736,1478,807,1086,800,694,665,945,1651,1652,1121,1736
  CD209D,48,43,27,33,1,3,5,6,10,10,8,32
  CD209E,7,4,2,3,3,4,0,2,2,2,2,2
  CD209F,0,0,0,1,1,2,0,0,0,0,0,0
  CD209G,0,0,0,0,9,7,0,2,0,0,1,0
  CD22,42248,38941,22829,28361,9686,6051,7757,10982,47961,41780,30387,40403
  CD226,162,84,73,123,82,65,67,52,120,132,88,104
  CD244,923,516,471,973,872,536,695,492,1106,821,951,790
  CD247,472,239,182,328,280,253,266,285,379,405,292,326
  CD248,0,1,3,3,6,6,1,1,5,1,3,0
  CD24A,16708,18991,21174,26424,5109,3117,7167,9468,22160,13784,11572,13684
  CD27,620,432,225,385,318,251,240,294,586,604,425,692
  CD274,2979,2724,3159,4145,3092,2562,2976,3484,3972,3306,2747,2945
  CD276,87,81,29,45,20,16,35,47,98,88,78,98
  CD28,283,140,119,200,162,171,140,145,367,276,188,181
  CD2AP,7544,7131,6808,9448,5024,3438,4468,5082,10052,8171,6607,7530
  CD2BP2,2808,2450,4679,5110,2379,1728,2922,3579,3472,2561,2109,2276
  CD300A,2546,2260,1107,2617,1913,1137,1686,1452,2912,2805,2601,2905
  CD300C,106,81,44,91,37,18,35,31,51,37,33,72
  CD300C2,499,521,193,586,452,214,432,329,744,567,686,540
  CD300E,298,243,154,480,385,191,277,312,868,721,631,430
  CD300LB,104,253,30,114,116,66,132,76,183,142,138,117
  CD300LD,306,380,155,442,402,250,324,243,636,433,421,361
  CD300LD2,1,3,0,1,1,2,3,1,2,0,0,0
  CD300LD3,104,118,25,91,65,34,75,52,123,112,126,147
  CD300LD4,6,5,6,23,4,0,4,16,8,4,10,11
  CD300LD5,13,7,0,34,29,25,19,0,8,13,33,58
  CD300LF,863,721,417,811,973,892,601,581,1469,1216,949,1064
  CD300LG,238,232,92,222,250,228,114,151,209,230,177,273
  CD302,425,353,168,351,283,151,256,221,679,496,493,440
  CD320,117,92,442,437,149,93,259,258,121,101,76,82
  CD33,412,378,201,338,248,293,276,184,623,419,385,609
  CD34,1453,1307,895,1289,976,915,928,981,1506,1408,996,1528
  CD36,2673,2759,7764,8964,1022,591,1630,1775,4667,3261,2632,2271
  CD37,23984,23075,14333,18363,10625,7099,12078,17366,27596,23489,17074,23987
  CD38,10261,9524,5120,5109,2927,2011,3386,3616,13123,11179,8531,10326
  CD3D,491,388,281,527,477,459,293,278,458,403,296,534
  CD3E,136,83,54,105,106,110,77,84,143,108,70,132
  CD3EAP,505,536,1986,2414,709,580,670,781,696,512,359,497
  CD3G,157,118,116,179,88,89,87,98,215,96,100,134
  CD4,665,535,265,604,484,399,399,439,816,584,548,681
  CD40,4450,3777,7873,8807,3391,2722,3851,4214,4893,4008,3165,4020
  CD40LG,25,5,4,9,3,2,4,6,19,11,7,20
  CD44,6247,5432,6064,8120,6057,3909,7303,7633,9217,7210,6130,6076
  CD46,913,896,815,1173,1165,1091,1411,1558,983,893,706,961
  CD47,8954,8502,3946,5352,3785,2790,3032,3059,9648,9032,7085,11512
  CD48,4557,4018,4630,4789,1777,1045,2397,2575,5109,4072,3928,3644
  CD5,285,165,112,216,136,118,115,109,268,219,148,195
  CD52,14296,14121,19651,25611,8142,4649,8374,10703,21284,15033,12331,11990
  CD53,20601,18179,20501,17468,4090,2279,5736,5751,22807,17986,16104,14962
  CD55,28859,27745,3470,7057,10765,7586,11785,14522,27882,25796,17315,23037
  CD55B,822,755,162,215,258,198,294,300,606,776,455,758
  CD59A,114,98,46,87,92,76,65,60,219,166,102,150
  CD59B,423,372,312,424,352,298,279,419,515,525,379,512
  CD5L,3335,3549,1365,3462,5438,1572,2859,2116,7986,4921,6457,3841
  CD6,185,96,51,177,142,164,80,104,188,141,77,116
  CD63,36,79,14,65,31,17,25,20,78,48,37,62
  CD63-PS,20,12,11,18,17,6,9,13,15,23,16,20
  CD68,1465,1390,642,1519,1394,688,1132,1005,3041,1932,2465,1861
  CD69,2560,2581,4492,3248,1554,1920,1744,1208,2744,2368,2109,2167
  CD7,254,188,142,185,56,65,112,94,246,126,141,193
  CD70,1,0,2,4,11,8,5,7,0,0,2,0
  CD72,9431,9739,8337,8817,3138,2248,3173,4005,11671,9179,6888,9048
  CD74,188915,180196,162447,162464,95091,67239,97852,137444,254266,197700,153647,172699
  CD79A,29593,31495,14886,18010,9141,5532,8709,12394,39240,29917,22321,28670
  CD79B,47987,47499,32599,35884,10520,6422,13604,16750,50946,37949,31804,34664
  CD80,183,143,135,215,3057,2288,4464,4446,289,285,198,187
  CD81,6492,5781,3770,4304,7674,4624,11718,13031,9302,7615,6655,5878
  CD82,3971,3388,2784,4093,2590,1608,2780,2745,5617,4439,4300,4327
