,null_mock_1,null_mock_2,null_IR_1,null_IR_2,wt_IR_1,wt_IR_2,wt_IR_3,wt_IR_4,wt_mock_1,wt_mock_2,wt_mock_3,wt_mock_4
  YRDC,687,722,1672,1730,599,538,706,779,836,673,505,598
  YTHDC1,9175,8452,11926,12163,7580,6401,8695,9304,10008,9041,6733,8990
  YTHDC2,2580,2313,2626,2552,1099,794,1480,1424,2721,2454,1843,2410
  YTHDF1,1689,1510,2359,2500,1067,733,1196,1406,2034,1679,1298,1882
  YTHDF2,3120,2987,6101,6526,3080,2148,4127,4641,3934,2957,2357,3043
  YTHDF3,6608,5715,6486,6148,3220,2412,4265,4337,6600,5931,4939,6172
  YWHAB,4407,3961,4387,5504,3725,2404,3693,4224,5844,4610,3860,4823
  YWHAE,3894,3941,3960,6860,4162,2899,3429,3920,5185,3955,3536,5423
  YWHAG,2382,2154,2805,3598,2243,1652,1825,1928,3127,2537,2052,3911
  YWHAH,2470,2332,4089,3212,1647,905,1375,1706,3662,2611,2201,2536
  YWHAQ,4722,4238,9514,8989,3013,1957,3713,4085,6220,4679,3936,3966
  YWHAQ-PS1,120,70,41,61,35,31,47,56,105,108,60,165
  YWHAQ-PS2,1,6,5,11,18,14,2,5,9,6,9,11
  YWHAZ,13234,12961,9786,12132,6159,3926,5855,6255,14827,12812,10164,16398
  YY1,3130,2750,3983,3516,2139,1370,2072,2207,3542,2943,2341,2948
  YY2,248,246,244,260,102,66,158,107,199,293,204,247
  ZADH2,942,875,342,515,814,567,689,860,1104,971,709,1301
  ZAK,596,541,583,836,6703,4743,8765,9524,840,680,617,773
  ZAN,225,150,106,180,140,129,146,84,225,207,132,243
  ZAP70,259,109,77,134,187,193,137,132,213,239,167,163
  ZAR1,44,55,34,45,45,38,48,40,45,49,36,75
  ZAR1L,0,0,0,0,2,0,1,0,0,0,1,0
  ZBBX,0,0,0,0,4,1,0,0,0,0,0,0
  ZBED3,174,227,136,229,87,72,63,114,266,197,169,206
  ZBED4,2845,2753,3611,3178,1172,858,1414,1829,3243,2689,2142,2662
  ZBED4-PS1,2,0,1,0,2,5,0,0,0,0,2,2
  ZBED4-PS2,0,0,0,2,5,9,0,1,0,0,1,0
  ZBED4-PS3,2,1,0,0,2,2,1,1,0,0,0,0
  ZBED5,208,205,269,310,229,222,197,244,239,242,139,197
  ZBED6,2580,2018,1215,1945,1675,1126,1508,1740,2518,2458,1887,2937
  ZBP1,1444,1690,886,1080,802,655,768,759,2564,1624,1663,1624
  ZBTB1,4086,4072,3724,4149,2868,2302,2878,3413,5021,4412,3158,4333
  ZBTB10,1033,928,1861,1703,2353,2329,2940,2929,1021,982,656,1031
  ZBTB11,3554,2899,5351,4882,2828,2409,2887,2843,3896,3325,2661,3484
  ZBTB12,282,300,505,679,222,147,251,363,380,311,237,313
  ZBTB14,1233,1100,1383,1357,816,555,858,1143,1612,1356,1008,1290
  ZBTB16,76,48,26,62,196,114,50,48,62,49,50,77
  ZBTB17,1172,1089,1805,1894,1141,854,1168,1279,1275,1112,827,1085
  ZBTB18,6400,6027,6795,6116,2785,2044,3369,4125,6880,6092,4599,6411
  ZBTB2,1094,1064,1858,1594,635,512,671,579,1208,950,677,875
  ZBTB20,9133,7556,3890,5183,7833,6570,4926,5715,10752,10261,7809,9517
  ZBTB21,1401,1202,1898,1914,1093,918,1223,1403,1494,1379,1021,1320
  ZBTB22,1421,1417,1203,1875,771,547,911,1122,1483,1249,976,1319
  ZBTB24,1254,1116,1471,1510,698,592,864,1033,1492,1192,899,1049
  ZBTB25,699,582,801,893,675,505,715,844,847,733,502,796
  ZBTB26,2234,2082,3117,3130,1456,1347,1698,1770,2501,2127,1593,2127
  ZBTB3,218,183,285,350,94,62,155,185,285,198,180,193
  ZBTB32,250,212,175,232,273,208,391,497,467,354,284,198
  ZBTB33,2492,2384,2640,2257,2225,1477,3008,3246,2693,2419,2004,2385
  ZBTB34,940,870,771,1106,734,608,703,805,981,918,705,1094
  ZBTB37,7615,6773,5827,7463,4320,3224,5072,5854,7842,7681,5423,8234
  ZBTB38,3041,2601,1233,1832,1513,1082,930,1350,4406,3393,2530,2704
  ZBTB39,1102,1026,1178,1328,831,642,806,1116,1297,1279,892,1173
  ZBTB4,5476,5142,1536,1823,924,664,682,1061,6108,5400,4073,5139
  ZBTB40,1661,1347,2581,2077,1048,812,1359,1608,1780,1793,1154,1729
  ZBTB41,1595,1489,2534,2376,1186,1070,1548,1647,1775,1495,1194,1501
  ZBTB42,111,97,17,47,205,157,268,425,156,129,99,130
  ZBTB43,1477,1403,2092,1901,928,762,1087,1221,1744,1438,1146,1470
  ZBTB44,3949,3593,3964,4072,2584,2053,2911,3181,4309,3748,2758,3979
  ZBTB45,559,418,350,511,378,285,356,395,586,520,372,577
  ZBTB46,639,493,850,953,574,617,608,609,739,601,497,535
  ZBTB48,533,452,859,728,346,261,400,464,606,505,412,526
  ZBTB49,1263,1043,896,1097,632,450,664,743,1227,1081,812,1179
  ZBTB5,2081,1992,3759,4195,1725,1280,2365,2636,2411,1939,1448,1921
  ZBTB6,1818,1561,2666,2668,1129,854,1399,1486,2241,1891,1423,1684
  ZBTB7A,4197,3835,5073,5212,2718,2253,2247,2702,4857,4077,2989,4570
  ZBTB7B,2041,1792,721,979,2170,1481,2471,3444,2409,2084,1572,1863
  ZBTB7C,10,3,0,5,10,14,5,5,8,7,4,4
  ZBTB8A,422,332,227,314,272,273,226,273,423,354,291,394
  ZBTB8B,136,105,74,110,79,68,73,56,123,132,79,161
  ZBTB8OS,2118,1911,1519,2292,1921,1533,1528,1767,2317,1998,1483,2323
  ZBTB9,1632,1590,2348,2363,933,630,1153,1392,1780,1393,1139,1402
  ZC2HC1A,51,38,22,58,55,30,42,28,70,79,69,54
  ZC2HC1B,0,0,3,2,0,5,5,2,0,1,0,0
  ZC2HC1C,90,82,92,131,44,26,58,75,118,93,58,88
  ZC3H10,1155,1122,2085,1812,725,544,856,1047,1355,1043,814,1003
  ZC3H11A,5766,4470,5808,6382,4067,3262,4377,4603,6247,5570,3894,5168
  ZC3H12A,1944,1722,1750,2244,2343,2286,2224,2075,2327,2008,1373,2718
  ZC3H12B,183,199,243,324,184,158,163,156,175,185,126,207
  ZC3H12C,1310,929,5375,5622,1415,1270,1577,1639,2425,1762,1415,1204
  ZC3H12D,4434,4030,1586,2779,1965,1271,1975,2555,5443,4338,3488,4311
  ZC3H13,2707,2249,3126,4525,3362,2845,2514,3053,3172,2857,2101,3180
  ZC3H14,3202,3197,4099,4399,1968,1385,2355,2724,4147,3262,2560,2920
  ZC3H15,2948,2867,7259,7205,2918,2165,3264,3565,3970,2977,2584,2817
  ZC3H18,3457,2964,5407,6183,3311,2885,3091,3635,4116,3617,2478,3735
  ZC3H3,1085,900,673,917,751,511,742,798,1076,1051,683,1223
  ZC3H4,4854,4368,3611,5295,4532,3746,4310,5475,5851,5079,3338,5663
  ZC3H6,1037,1130,266,858,1034,851,928,1142,1197,1052,716,964
  ZC3H7A,8312,7105,5599,6933,3765,3193,3961,4076,8405,7786,5890,7641
  ZC3H7B,1939,2063,2304,3055,2348,1728,2750,3145,2259,1904,1481,2120
  ZC3H8,280,263,721,916,240,204,377,350,292,231,196,268
  ZC3HAV1,11340,11257,10259,11337,6483,5106,7171,7757,13643,11203,8783,11507
  ZC3HAV1L,251,191,320,366,236,272,190,183,279,295,150,269
  ZC3HC1,2160,1847,2225,2689,1658,1442,1812,1798,2295,1844,1353,2149
  ZC4H2,135,113,108,131,64,30,78,97,169,168,125,95
  ZCCHC10,171,131,141,189,154,128,136,133,166,145,109,217
  ZCCHC11,17364,16117,10941,12051,9758,7354,12706,13282,17384,15565,11352,16094
  ZCCHC12,0,1,2,1,5,6,1,1,0,1,2,0
  ZCCHC13,0,0,0,1,1,0,0,0,0,0,0,1
  ZCCHC14,94,84,36,76,52,47,29,33,81,88,59,100
  ZCCHC16,50,36,34,63,34,33,34,26,46,52,25,47
  ZCCHC17,1197,1120,2021,2057,867,610,961,1112,1431,1140,910,1161
  ZCCHC18,627,713,351,449,183,166,167,211,974,707,538,655
  ZCCHC2,4959,5012,6551,5303,3654,2621,4523,4859,5898,4953,3900,5427
  ZCCHC24,1109,1012,153,258,512,262,587,786,1110,988,720,1259
  ZCCHC3,71,79,151,181,74,61,56,120,89,77,61,75
  ZCCHC4,1507,1338,1517,1780,937,790,1169,1272,1503,1380,1006,1351
  ZCCHC5,0,0,0,1,2,1,0,0,0,0,0,0
  ZCCHC6,7926,7330,6710,7552,6973,5483,7290,8327,9688,8029,6001,7834
