User_ID sorted by SD,p53_mock_1,p53_mock_2,p53_mock_3,p53_mock_4,p53_IR_1,p53_IR_2,p53_IR_3,p53_IR_4,null_mock_1,null_mock_2,null_IR_1,null_IR_2
 ENSMUSG00000058446,11.8394,11.8539,11.8141,11.8286,11.258,11.2078,11.5813,11.7297,11.9669,11.9136,12.0841,11.7637
 ENSMUSG00000041354,10.9835,11.2781,11.0084,11.2692,10.7148,10.7101,11.1411,11.3992,11.4401,11.3221,11.4268,10.8915
 ENSMUSG00000037548,14.1583,14.1477,14.0846,13.9854,13.5232,13.4128,13.726,13.9878,14.1565,14.1706,13.954,13.6754
 ENSMUSG00000103297,5.6105,5.2348,5.4314,5.2717,5.0072,5.2574,5.7076,5.5159,5.5395,5.879,5.7848,5.7543
 ENSMUSG00000040631,6.7754,6.9801,6.8616,7.1154,6.464,6.5542,6.6513,6.4865,6.842,7.129,7.2644,7.0072
 ENSMUSG00000023806,7.7484,7.8075,7.6616,7.5339,7.3065,7.0646,7.0742,7.4746,7.5412,7.5961,7.106,7.2196
 ENSMUSG00000019951,11.5102,11.5308,11.455,11.6261,11.1421,11.0725,11.161,11.313,11.5778,11.5983,11.9592,11.7668
 ENSMUSG00000074867,9.1587,9.1616,9.2106,8.9411,8.6958,8.5839,9.2126,9.0964,9.0771,9.1352,9.6332,9.0634
 ENSMUSG00000040007,9.9782,10.1612,9.9615,10.555,9.8183,9.8258,9.7606,9.9724,10.2576,10.2073,9.9938,9.5489
 ENSMUSG00000036555,9.8243,10.0036,9.7551,10.2218,9.5838,9.6262,9.4364,9.6058,10.1681,10.0095,9.6414,9.4815
 ENSMUSG00000090551,6.2306,6.5597,6.565,6.3692,5.8,5.9427,6.3203,6.4015,6.751,6.4749,6.3917,6.2214
 ENSMUSG00000031751,11.7277,11.7282,11.755,11.6866,11.1801,11.1381,11.4384,11.5709,11.764,11.8321,12.0519,11.5257
 ENSMUSG00000045827,9.1324,8.9154,9.325,8.8136,8.4742,8.598,8.9907,8.4924,8.7815,8.7889,8.5238,8.9229
 ENSMUSG00000028015,12.0387,11.9749,12.0946,11.954,11.4528,11.3947,11.529,11.766,12.0058,12.2007,11.8615,11.9976
 ENSMUSG00000055044,8.9561,8.9654,8.8006,8.9844,8.43,8.4807,8.5297,8.567,8.8607,8.8256,8.1485,8.5145
 ENSMUSG00000034832,12.2199,12.54,12.3757,13.1322,12.2965,12.4911,12.1699,12.2016,12.6927,12.5563,12.4832,12.4733
 ENSMUSG00000037400,11.8391,11.9426,11.919,12.1454,11.3653,11.5011,11.6848,11.5192,12.1003,12.0215,11.6457,11.5
 ENSMUSG00000036073,9.0696,9.1771,9.0038,9.0916,8.624,8.5034,8.8864,9.1064,9.2322,9.3824,9.3456,8.9728
 ENSMUSG00000079630,6.5441,6.5235,6.4234,6.9789,6.5703,6.4945,6.4164,6.1107,6.4881,6.6242,5.9827,6.1564
 ENSMUSG00000019699,11.6844,11.8342,11.7398,12.0354,11.4193,11.5483,11.3857,11.4978,12.0982,12.1717,11.6549,11.5919
 ENSMUSG00000021485,7.1881,6.9712,7.0549,7.3909,6.6305,6.9585,6.4844,6.6053,7.0342,6.839,7.1414,6.8424
 ENSMUSG00000029499,5.3053,5.3531,5.0431,5.3036,4.873,4.821,5.0222,5.2919,5.0716,5.3544,4.6691,4.6488
 ENSMUSG00000019978,11.944,11.8868,11.9205,12.0018,11.6885,11.4435,11.2289,11.3917,11.8985,11.9745,11.7108,11.9521
 ENSMUSG00000046897,12.0015,12.1066,12.0504,12.2679,11.5605,11.5346,11.9603,12.0612,12.2825,12.3089,12.3144,11.9733
 ENSMUSG00000086986,5.5506,5.6788,5.7857,6.0038,5.438,5.0999,5.7824,5.7782,5.9251,5.6924,6.0345,5.5125
 ENSMUSG00000055069,8.7659,8.7642,8.8132,8.899,8.3131,8.302,8.6075,8.6922,8.9335,8.7889,8.9828,8.2
 ENSMUSG00000026417,7.6025,7.2975,7.4679,7.5339,6.9929,7.3758,7.0742,7.4537,7.6512,7.7858,7.8104,7.7322
 ENSMUSG00000037628,6.6411,6.014,6.2844,5.7555,6.0577,5.9427,6.0471,5.6718,5.9437,6.2423,6.2894,6.2214
 ENSMUSG00000025868,9.1106,8.8802,9.0682,8.8136,8.6958,8.2036,8.9475,9.0659,8.8607,9.2011,8.825,8.6982
 ENSMUSG00000073131,8.6776,8.8491,8.9334,9.1435,8.3433,8.4183,8.7786,8.8074,8.8631,8.9661,9.2381,9.0075
 ENSMUSG00000080712,7.0111,6.4863,7.0864,6.4266,6.4859,6.3334,6.393,6.5272,6.8322,6.8167,6.5413,6.3285
 ENSMUSG00000053541,13.6333,13.689,13.5852,13.4607,13.0507,13.0495,13.1186,13.2717,13.6634,13.6595,13.5662,13.1207
 ENSMUSG00000034111,11.8212,11.9412,11.9186,12.2061,11.5483,11.341,11.892,11.9971,12.1077,12.0581,12.0445,11.5352
 ENSMUSG00000000686,6.6782,6.6742,6.8737,6.8281,6.1153,6.5542,6.345,6.507,6.5968,6.5033,6.0597,6.2372
 ENSMUSG00000080701,4.7691,4.8408,4.8485,5.0622,4.8002,4.4604,4.3616,4.4196,4.7551,4.4735,4.1375,4.5962
 ENSMUSG00000021365,13.572,13.4715,13.4728,13.3794,13.0193,12.9382,13.1748,13.3758,13.4646,13.6185,13.8189,13.6861
