genes,WTvsMu_lfc,WTvsMu_FDR,IRvsMock_lfc,IRvsMock_FDR,Interaction_lfc,Interaction_FDR
Gstt1,1.567161015,0.892199085,0.616591493,0.689713622,0.086168952,0.971450555
Ddx18,0.030586391,0.999574161,2.155770282,2.28537E-19,-1.098952266,0.001003794
Eef1e1,-0.17252723,0.999574161,1.894988579,1.17227E-10,-1.247632759,0.002383534
Il16,-0.111999182,0.999574161,-0.213461596,0.264029529,-0.073706299,0.820435119
Naglu,0.12042166,0.999574161,0.15117109,0.680542193,-0.411734591,0.32635991
Rin2,0.15838911,0.999574161,-0.810785071,0.092033492,0.969195972,0.132731802
Chordc1,0.076690966,0.999574161,2.182421844,1.58729E-07,-1.865941307,0.000981595
Pwp1,-0.099209497,0.999574161,2.004743102,2.64201E-14,-0.591836615,0.151210764
Fbxo7,-0.019154884,0.999574161,0.186895133,0.537085755,-0.534458369,0.117308385
Capns1,0.044379595,0.999574161,-0.205850046,0.466645801,-0.126089679,0.771013798
Rac1,0.089254334,0.999574161,0.075087873,0.767363557,-0.395467668,0.118119185
Ugp2,-0.014057208,0.999574161,0.340649087,0.289833504,-0.594076895,0.141542664
Kcnh6,-0.190747559,0.999574161,-1.888590263,0.000309683,1.381829173,0.06279042
Siae,0.138116988,0.999574161,-0.590031232,0.02423255,-0.020201497,0.97150888
Gria3,-0.371822659,0.999574161,-0.192650134,0.713985168,3.452065577,2.36499E-15
Sipa1l2,-0.008488765,0.999574161,-1.456927847,1.167E-10,0.834582282,0.009137118
Srpk3,-0.286612998,0.999574161,-1.364764917,4.10515E-07,-0.705342469,0.078158709
Idh3g,-0.165591272,0.999574161,0.680341856,0.035398625,-0.442188661,0.372069847
Pnck,-1.297127167,0.999574161,-0.966606713,0.555783916,1.681792948,0.421185388
Bcap31,-0.112841416,0.999574161,0.35677061,0.405197902,-0.519920289,0.35309214
Unc119,-0.048601269,0.999574161,-0.170818161,0.520085508,-0.344124726,0.289562715
Sdf2,-0.108066799,0.999574161,-0.436979006,0.028271166,0.070856614,0.854356241
Ccne1,-0.012553764,0.999574161,-1.579017655,1.09779E-09,0.145135392,0.781747607
Bbc3,0.668924794,0.242047705,0.199918569,0.622884916,5.774002758,8.19402E-70
Psmc3,-0.049257739,0.999574161,1.476729378,8.19657E-10,-0.716370623,0.042206004
Rapsn,-0.496268107,0.999574161,0.653712724,0.699208928,0.750287477,0.747788584
Celf2,0.005687588,0.999574161,-0.490590432,0.000767046,-0.361164655,0.085289971
Ddb2,-0.188625396,0.999574161,-0.609255196,0.009626946,0.172416788,0.686208615
Rmnd5a,-0.082399265,0.999574161,0.060449252,0.879599189,-0.347215773,0.380678957
Ppm1j,0.027159474,0.999574161,-0.118822396,0.94505355,0.40587554,0.824885356
Peg3,-0.076977199,0.999574161,0.304879705,0.821482676,0.861594473,0.578192653
Metrn,-0.24676408,0.999574161,0.553918315,0.115127669,-0.487793898,0.345402461
Angptl4,0.391091485,0.999574161,1.293225506,0.000932411,-1.602052187,0.002135479
Cd320,-0.19730292,0.999574161,2.32381591,1.3568E-09,-0.497196861,0.464580727
Ipo4,-0.050838431,0.999574161,2.465230563,6.82E-34,-0.3669123,0.280436827
Irf9,-0.115508723,0.999574161,0.028383326,0.960821942,-0.141706571,0.805457249
Dhrs1,0.012294781,0.999574161,-0.544263518,0.061596734,0.134531853,0.798707156
Armc6,-0.068642065,0.999574161,1.771332825,2.86714E-06,-1.291195666,0.015512433
Slc25a42,0.125489112,0.999574161,0.059971597,0.892533093,2.266318647,5.7564E-13
Ocel1,0.043567037,0.999574161,0.326839589,0.402819663,-0.47015074,0.358921964
Dyrk1b,-0.190293164,0.999574161,-0.327522081,0.391790583,-0.183354368,0.76127014
Rgs19,-0.060439443,0.999574161,0.271768951,0.235163479,-0.631600028,0.020485964
Snrpd1,0.137439536,0.999574161,2.516999959,1.87185E-25,-1.223416995,0.000241187
Rpl3l,-1.633726759,0.89576735,-0.951547047,0.521318881,1.482543253,0.457211723
Slc9a3r2,-0.707609247,0.999574161,-0.800162818,0.467295342,0.563760861,0.737991421
Scin,-0.294395827,0.999574161,-0.074526144,0.885935501,-0.097800841,0.877805471
Mien1,0.057071427,0.999574161,0.842163596,0.006188421,-0.790458558,0.065370913
Axl,0.389787122,0.999574161,-0.957313934,0.005610241,0.224957442,0.728303567
Tgfb1,-0.19814789,0.999574161,-0.611735447,0.047790713,0.256187392,0.624641476
Zfp40,-0.254474716,0.999574161,-0.009479681,0.981317205,-0.099464041,0.858044517
Shh,0.049794568,0.999574161,-0.59077599,0.697610513,0.533366844,0.800781428
Gtf2f1,0.058982017,0.999574161,1.997120079,7.94396E-30,-0.697453998,0.005924963
Clpp,-0.032793598,0.999574161,1.649090249,2.48908E-16,-0.861665032,0.002443186
Alkbh7,-0.242997895,0.999574161,0.71038029,0.079440435,-0.599470401,0.315792258
Dennd1c,0.010368338,0.999574161,-1.341447919,1.64432E-15,0.623357704,0.009817576
Lcp2,0.370453997,0.999574161,-0.499910652,0.23539937,0.371438329,0.562355135
Mrpl2,-0.17697715,0.999574161,1.483124653,5.54187E-10,-0.831703568,0.015256161
Gnmt,-0.08391021,0.999574161,1.498506715,0.038242754,0.065298055,0.965260048
Kdelr1,0.089893728,0.999574161,0.108004092,0.752278853,-0.476868156,0.180532405
Jag2,-0.335342996,0.999574161,0.327033182,0.648219478,3.702582024,4.0222E-09
Epdr1,2.131638874,0.932119716,-2.414045654,0.349586839,0.017102442,NA
Qtrt1,-0.278352972,0.999574161,2.022536659,3.02887E-15,-0.530659504,0.198505119
Chaf1a,0.474222075,0.843902525,1.192857137,8.60245E-05,-1.601382926,5.07968E-05
Pla1a,-0.657784737,0.999574161,2.115376037,0.031533669,1.002312829,0.544605131
Mcm2,0.133025837,0.999574161,1.812857046,5.65442E-16,-1.577577461,6.68835E-08
Tpra1,-0.1466461,0.999574161,-0.365882655,0.082233537,0.002259316,0.995285509
Adgre5,0.126866333,0.999574161,-0.367332651,0.023228232,-0.148693636,0.588951855
Il17ra,-0.075289308,0.999574161,-0.790267084,2.94421E-06,-0.174202108,0.571784428
Kcnn1,-0.057890846,0.999574161,2.843572368,0.001532961,-1.243245169,0.400130459
Ppp1r17,-0.464846901,0.999574161,-0.566388638,0.741598717,2.54793246,0.143954548
Cd36,0.155501394,0.999574161,1.845893205,9.07152E-08,-2.365424303,8.48667E-08
Bcam,-0.698744592,0.999574161,-0.518520603,0.648712344,1.246541819,0.352051385
Tomm40,-0.109010658,0.999574161,2.008315679,4.45505E-22,-0.840254449,0.004684135
Apoe,-0.001567906,0.999574161,-0.788639793,0.050660788,0.178268555,0.811122358
Apoc2,0.153763109,0.999574161,-1.396151056,0.112045387,1.243235801,0.318289032
Prkar2b,0.272886822,0.999574161,-0.059143558,0.938573034,-0.786848796,0.222340616
Cdkn1b,-0.092144549,0.999574161,-0.84836772,2.69143E-06,-0.01227709,0.976560359
Ap1m1,-0.000109804,0.999883177,-0.393427913,0.067163217,-0.125379768,0.743895488
Efna2,0.692560324,0.999574161,3.20524317,0.004667332,-2.064490499,0.225188312
Slc2a3,0.01973864,0.999574161,0.070100022,0.783126065,-0.677740234,0.003129063
Bcl2l12,-0.163874906,0.999574161,0.866203655,0.00117341,-0.65368188,0.089347393
Mpnd,-0.145109573,0.999574161,-0.298752958,0.426683591,0.052685717,0.935168082
Eif2b5,-0.185517418,0.999574161,1.540042505,1.64238E-14,-0.605974305,0.041551316
