genes,WTvsMu_lfc,WTvsMu_FDR,IRvsMock_lfc,IRvsMock_FDR,Interaction_lfc,Interaction_FDR
Aox4,0.566184862,0.999574161,-0.426412621,0.660916664,0.833224365,0.477825002
Usp38,-0.068403332,0.999574161,0.536216951,0.030753063,-0.629794576,0.059413615
Sema7a,0.671320976,0.809408331,1.53787855,0.000279374,-1.236020998,0.037850482
Slc22a23,0.456130781,0.223979981,0.187188135,0.451571696,-0.757720394,0.004696803
Ovca2,0.183142465,0.999574161,1.434727104,2.88863E-07,-1.146437026,0.002988137
Nop2,-0.071349054,0.999574161,2.832292978,4.41433E-43,-1.027780112,0.000332211
Bphl,-0.190452888,0.999574161,-1.0494117,0.000238754,0.383443231,0.425624509
Snx25,-0.064217476,0.999574161,-0.314305339,0.271225626,-0.44643178,0.236449025
Atg9b,-0.71261845,0.999574161,0.387190103,0.777652154,3.975356598,0.001005628
Galnt18,-0.359389709,0.999574161,0.002171173,0.998911538,1.746252129,0.389547999
Pdzk1,0.166971862,0.999574161,2.652825605,0.013386887,-0.228015777,0.914409096
Wdr36,-0.082000442,0.999574161,2.191754254,1.75496E-20,-0.80857969,0.018643862
Kcnh2,0.592010553,0.999574161,-0.123524926,0.963841559,1.483293331,0.518541742
1700066M21Rik,-0.114545123,0.999574161,0.243762804,0.601978073,-0.262078636,0.687617099
Sesn1,-0.135937552,0.999574161,-0.806869671,1.69718E-05,0.428585475,0.127205099
Tsr1,0.020670636,0.999574161,2.619477747,9.18324E-34,-0.894894041,0.003813884
Plcl1,0.198936874,0.999574161,-0.631190691,0.251171105,0.710319244,0.349735144
Sgsm2,-0.129499491,0.999574161,0.375405776,0.293845609,2.751630124,1.57017E-14
Arl5c,-0.310629774,0.932119716,-1.350722242,8.64422E-10,0.424119431,0.232386501
Camp,2.631505235,0.147719762,1.088263052,0.39899477,-1.915665082,0.23163987
Focad,0.065686192,0.999574161,1.715300539,7.16859E-13,0.185498502,0.693243229
Mpp6,0.070109112,0.999574161,1.351675612,1.68634E-12,-1.05387338,4.0369E-05
Gpr162,-0.769397724,0.999574161,0.366107261,0.695547907,-0.211819294,0.878354468
Higd1a,-0.125401643,0.999574161,1.477382673,1.03375E-07,-0.926858413,0.019200764
Fcrla,-0.221352291,0.999574161,-0.692286802,0.036742824,-0.224863125,0.703127325
Mllt6,-0.055939493,0.999574161,-0.42650953,0.126276969,-0.159677044,0.741522866
Olfml2b,0.711725088,0.999574161,0.348306599,0.82353057,1.340712634,0.398875262
Nos1ap,0.680025701,0.999574161,-0.304557415,0.745800746,0.395779985,0.748237359
Cdk19,-0.168112951,0.999574161,-1.379339075,6.2952E-17,0.758292598,0.000949972
Tfdp1,0.331770119,0.999574161,2.622903875,6.39359E-20,-0.85032231,0.047497278
Ptov1,-0.158087836,0.999574161,0.033016475,0.946161017,-0.395873356,0.351508865
Mesd,0.07456577,0.999574161,1.800901553,1.11698E-16,-1.088510843,0.000266407
Gdf15,0.574607059,0.999574161,-0.080261258,0.961667769,2.560396306,0.024351858
Rpf2,-0.024899965,0.999574161,2.535061687,3.54765E-36,-1.096891191,7.39455E-05
C1s1,-0.509682284,0.999574161,0.995711168,0.39899477,0.454890559,0.811592486
Mfsd4b5,-0.155109993,0.999574161,-0.044559325,0.972507172,1.739464509,0.057449813
BC028528,-0.035869134,0.999574161,-0.10211592,0.655965995,-0.472318071,0.045354655
Cul7,-0.145372699,0.999574161,-0.954076992,0.000581673,0.508809977,0.235972254
Ciart,-0.301249958,0.999574161,2.27730455,1.84623E-10,-0.981765682,0.069039477
Sp6,0.015093512,0.999574161,0.291453921,0.763101275,2.977602347,0.000452142
Ift172,0.139285029,0.999574161,-1.137880351,7.17817E-10,0.246118979,0.445344934
Saxo2,0.093934736,0.999574161,1.903054395,3.66091E-05,-0.259068722,0.775378504
Susd1,-0.309015833,0.999574161,-1.104895218,4.25302E-05,0.072419773,0.899178645
Pptc7,-0.086349995,0.999574161,0.285207818,0.320450444,-0.606179482,0.079892559
Akap12,-0.568837215,0.93754633,-1.781827791,1.58106E-05,2.13606941,7.28641E-05
Ripor1,0.08454866,0.999574161,-1.009408528,0.00139982,0.876469314,0.047160853
Samd10,-0.10422207,0.999574161,-0.226050736,0.528037321,-0.151041854,0.777560804
Gng10,-0.343192614,0.999574161,1.047881813,0.005560605,-0.901791413,0.091635334
Mcl1,-0.218300817,0.999574161,-0.026757954,0.943529027,-0.334645907,0.288817629
Tm6sf1,0.140020038,0.999574161,-1.932111352,6.39295E-37,-0.426409408,0.067860739
Zkscan16,-0.541636538,0.999574161,-2.90375143,0.000717586,2.892679301,0.010101613
Degs1,-0.101524322,0.999574161,0.23238259,0.393113111,-0.455467355,0.171087488
Ctss,0.13157955,0.999574161,0.681777679,0.005546795,-0.92816306,0.003917357
Pold1,-0.155835174,0.999574161,0.248654174,0.440338772,-0.852986772,0.015597498
Ramac,-0.231795196,0.999574161,-0.139561257,0.687616986,-0.225268977,0.616021465
Creb3l2,0.384056653,0.999574161,-0.790430381,0.061648014,0.708520737,0.24218871
Rnh1,-0.202752915,0.999574161,0.292289446,0.570818045,-0.472603238,0.472766322
Fsd2,0.245131994,0.999574161,-0.582841059,0.140559419,0.138304433,0.84709928
Dgki,0.818276269,0.40090081,-0.821167427,0.060572182,0.83072624,0.169043816
Mybpc2,-0.422211748,0.999574161,2.487195925,6.15636E-07,1.064665279,0.165871997
Trps1,0.183407386,0.999574161,-0.427949522,0.012941729,0.005842809,0.986997221
Pak1ip1,-0.157584634,0.999574161,1.346711575,6.75486E-07,-0.740822129,0.062800294
Atp5j2,-0.094005394,0.999574161,1.092221369,0.000237025,-0.665557699,0.130611856
Taf5l,-0.07381576,0.999574161,1.510435361,5.45575E-14,-0.871912579,0.001941732
Mindy1,0.065393521,0.999574161,-0.985981559,4.61899E-10,0.262845448,0.31862032
Pkhd1l1,2.097271629,0.229220186,0.300023055,0.833907543,-1.543960802,0.278970776
Wdr26,-0.074417353,0.999574161,-0.320477747,0.122923094,0.029581196,0.941067506
Nudcd1,0.001013417,0.999574161,1.758667646,3.52312E-11,-0.832588179,0.031657272
Nup205,-0.115555097,0.999574161,1.919464693,1.68272E-14,-0.813157816,0.025840755
Alpk3,-0.28406408,0.999574161,1.612316349,0.022689862,1.24412941,0.232386501
9130409I23Rik,0.408420486,0.999574161,-0.278468751,0.828543452,-0.634052252,0.685268064
Vill,0.84387824,0.299255015,-0.437178835,0.373073331,-0.12816069,0.874911373
Ephx1,-0.105211208,0.999574161,-1.970093721,2.03321E-12,3.245173209,3.9403E-21
Lefty1,0.767256986,0.999574161,-0.223253401,0.836039374,-0.765482462,0.523095384
Scgb1c1,-2.333729211,0.999574161,3.297689576,0.147323996,2.418429609,0.519694027
Ctnnal1,0.053607684,0.999574161,-0.274632779,0.383655712,-0.282031499,0.534410377
Ralgps1,-0.219280579,0.999574161,-1.349538031,3.38456E-10,0.707848587,0.02222128
Gcnt1,-0.017428081,0.999574161,-0.564230064,6.44805E-05,-0.276531219,0.207412447
Phb,-0.100592791,0.999574161,2.509946284,1.00007E-24,-0.957360963,0.006401572
Baiap2l1,0.102730163,0.999574161,-0.57238987,0.290372573,0.109497314,0.90728783
Pi4kb,-0.10607721,0.999574161,0.183868093,0.488942962,-0.551826818,0.063658126
Bpgm,-1.496505253,0.999574161,-1.145076065,0.444112417,0.663635528,0.773246647
Rpl12,-0.040121287,0.999574161,1.759975968,1.06118E-11,-0.432378956,0.316946211
Plcl2,-0.183516743,0.999574161,-0.424086232,0.014550284,0.144508571,0.633932492
Tcfl5,-1.039704212,0.999574161,2.337348519,0.179220597,1.299579568,NA
Slco4a1,-0.711497926,0.843902525,-0.107736744,0.888700818,-0.787455356,0.288227287
Pdk2,-0.188861494,0.999574161,-2.371096695,6.35198E-10,1.460118745,0.006084979
Rabggtb,-0.016841402,0.999574161,1.865490266,1.59297E-16,-0.647818588,0.056231576
Ppp1r9b,0.101230171,0.999574161,0.05658427,0.833824336,-0.508432013,0.035721533
Rbbp8nl,0.573617566,0.999574161,1.575605426,0.385936075,0.87564539,0.755137143
Cfap157,-0.136679596,0.999574161,2.022191488,0.001497807,-0.224109917,0.862273466
Cables2,-0.205258614,0.999574161,0.302514119,0.44269219,-0.321965727,0.561230114
Txndc5,0.276915187,0.999574161,-0.34310882,0.397412111,0.011476514,0.987071814
Bmp6,-0.525119152,0.999574161,-0.857557951,0.392006521,0.527979739,0.739083303
Tlr4,0.21796303,0.999574161,0.06378973,0.890057191,-1.033576067,0.005689221
Cpq,0.348775889,0.999574161,-0.446920073,0.313914644,-0.177464614,0.809806988
Timm8b,-0.099190974,0.999574161,1.016230896,0.005149613,-1.032743335,0.038560275
Arhgap18,0.026801866,0.999574161,-1.791450177,2.47953E-13,0.374003733,0.371937304
Tsga13,0.630121939,0.999574161,-0.432376149,0.629661289,-0.159202478,0.906656476
Usp6nl,-0.003218219,0.999574161,0.092844418,0.707525905,-0.480830816,0.052472053
Myo16,-0.119168121,0.999574161,0.077115122,0.983427078,3.335333608,NA
Anpep,-0.069227845,0.999574161,-1.105214333,0.087130972,0.726632096,0.467052504
Echdc3,-0.345026121,0.999574161,-1.515177073,0.012897517,0.615926068,0.554468327
Cpa4,1.409510473,0.999574161,3.29170843,0.194425246,2.029614983,NA
Chad,0.403543083,0.999574161,-1.434374588,0.000263416,0.179893368,0.818116636
Rreb1,0.043777442,0.999574161,-0.624833953,0.007025859,0.34244445,0.345402461
L3mbtl3,0.034992385,0.999574161,-0.638366512,0.004214531,-0.073400513,0.868699144
Itga9,0.486396205,0.849628748,-0.440333205,0.233380977,0.136817188,0.831846881
Camk1d,-0.018780304,0.999574161,-1.327691162,2.12071E-12,0.226118462,0.509065155
Akna,-0.025874966,0.999574161,-0.430352098,0.231327097,-0.027167146,0.969014222
Ube2h,-0.010789759,0.999574161,-1.532824503,1.21E-06,0.823485167,0.077341542
Akap7,0.095715192,0.999574161,-0.824190811,1.49401E-05,0.135306441,0.714882867
Adgrl4,-0.558533774,0.999574161,-0.741674633,0.567685639,0.114540189,0.957995965
Dap,0.08135618,0.999574161,-1.150058336,0.000160979,0.404103841,0.428878899
Tbc1d19,-0.116900354,0.999574161,-0.743629822,0.025863784,0.272320102,0.638897427
Nubp2,-0.081157415,0.999574161,1.384406262,5.09029E-09,-0.779813292,0.022009717
Adk,0.236918572,0.999574161,2.570099462,1.85614E-12,-1.014296328,0.063046946
Atf7ip2,-0.074487992,0.999574161,0.640374998,0.732149175,0.10486679,0.971553328
Metrnl,0.399832224,0.999574161,-0.401647818,0.520590576,0.130622905,0.895489366
Il18,0.040901763,0.999574161,-0.141585046,0.827290937,0.290695072,0.713862866
Rpl22l1,-0.359588089,0.999574161,0.635696385,0.229902923,-0.315951202,0.7173949
Suv39h1,-0.183277886,0.999574161,1.092185776,4.2605E-06,-0.69719977,0.042113602
Sec24d,0.593637029,0.16271801,-0.488801839,0.069076252,-0.15229875,0.750221255
Isg20,-0.587583084,0.999574161,-0.482349116,0.455327725,0.851529867,0.293858344
Tgfb2,0.593499068,0.999574161,2.922820151,4.55902E-06,-0.877485985,0.412733028
Gimap3,-0.064427568,0.999574161,-0.902215461,1.13369E-06,-0.298062396,0.329123502
Megf9,0.127000306,0.999574161,-0.7871094,0.000425127,0.29416643,0.428984534
Foxk2,0.064586655,0.999574161,1.409254171,3.64096E-11,-1.010217278,0.000536311
Cybc1,0.016107455,0.999574161,0.219774196,0.711970578,-0.842254624,0.182868696
Rnf122,-0.078659297,0.999574161,-0.655934731,0.016473951,-0.242582297,0.60844483
Tsga10ip,0.354694034,0.999574161,0.278981608,0.850932702,-0.649748177,0.718934086
C130074G19Rik,-0.018514594,0.999574161,-0.277294807,0.807663689,1.687527763,0.120064151
Exosc2,-0.053727733,0.999574161,1.749759863,6.24124E-21,-0.737229032,0.005797857
Drd5,0.097149191,0.999574161,-0.361284582,0.783033277,-0.994698717,0.523095384
Mreg,-0.032376988,0.999574161,3.131900784,5.51312E-24,0.21925028,0.72881735
Prdm16,-0.073269067,0.999574161,1.615111255,0.002759242,-1.680189626,0.024201034
Ttc36,-0.452518855,0.999574161,1.064005147,0.383388605,0.371139901,0.855731951
Dcxr,0.005453767,0.999574161,-0.85215492,0.052940098,5.528342629,8.62804E-32
Ppl,0.931352691,0.036796336,-1.586435837,2.98529E-06,0.570364337,0.288673125
Col10a1,0.092172495,0.999574161,-0.922833789,0.001513516,0.684828644,0.101418947
Tspyl4,0.324576121,0.650220241,-0.544505762,0.004125623,-0.070693627,0.85183482
Dse,0.345589123,0.999574161,-0.557388185,0.069343497,-0.087696551,0.87780828
Atp8b1,-0.603702772,0.999574161,0.079138118,0.97037165,1.901236624,0.245805989
NA,-0.028845642,0.999574161,-0.272072108,0.277356263,-0.580791828,0.057259373
Cylc2,-0.045737618,0.999574161,1.605112807,0.809952744,4.674875809,NA
Myo9a,0.257122086,0.849628748,0.150032335,0.484904157,-0.61614547,0.006988773
Fam149b,-0.216106723,0.999574161,-1.263410662,1.94831E-08,1.044997609,0.000617181
Rbms3,-0.584211655,0.999574161,-0.373585916,0.634635613,1.862804179,0.018146561
Mocos,0.762926863,0.999574161,-0.410315963,0.643619861,0.202167128,0.875825595
Gm7488,-0.091316621,0.999574161,1.322674896,0.000589461,-0.895571593,0.111413354
Prex1,0.045981183,0.999574161,-1.10112349,0.000105835,0.28684784,0.57311453
Coro7,-0.01232957,0.999574161,-1.189872387,9.6691E-05,1.615770746,3.90009E-05
Mrpl12,-0.00635563,0.999574161,1.844301644,1.60231E-16,-0.560959588,0.103053261
Vasn,0.050254532,0.999574161,-1.455407617,1.01842E-05,1.931185884,4.9745E-06
Oxld1,-0.062156031,0.999574161,0.667314273,0.118186607,2.068914743,2.17725E-05
Capsl,-0.741024372,0.999574161,1.385849542,0.137536419,-0.505220689,0.761484946
Mrps6,0.058991741,0.999574161,2.013197301,4.41504E-10,-0.029075207,0.969197772
Lap3,0.567418869,0.299255015,2.214588435,1.38109E-19,-1.776687575,2.52334E-08
Zer1,-0.154797899,0.999574161,-1.04028656,7.01803E-07,0.759751645,0.009625225
Ncoa7,0.168199763,0.999574161,-0.86348727,5.88155E-07,0.22607141,0.449215949
Trp53rka,-0.122112264,0.999574161,1.403093798,3.45486E-07,-0.702176529,0.087374519
Fnbp1l,-0.104717774,0.999574161,1.558207321,3.5059E-05,-0.955962425,0.084819091
Orai2,-0.406610257,0.999574161,-1.432876069,4.90148E-06,2.321666957,3.08396E-09
Fbxl5,-0.309219703,0.94786974,0.320534112,0.227120302,-0.368658169,0.31349936
Thap3,-0.023022393,0.999574161,-0.440743975,0.085644325,0.08987374,0.850950714
Il22ra2,0.289295378,0.999574161,1.920891397,0.107074398,-1.358100248,0.461990869
Ypel5,-0.19989758,0.999574161,-1.19750707,9.63853E-07,0.282645575,0.516942111
Polr2j,-0.130127799,0.999574161,1.505637924,8.95556E-11,-0.598465793,0.088768046
Galnt12,0.116214047,0.999574161,-0.165969106,0.487815827,-0.391537451,0.166722477
Cpeb2,0.17160595,0.999574161,-0.680994744,0.033245024,0.349959062,0.499954094
Kmo,-0.237748396,0.999574161,-0.250914692,0.440951848,-0.687008848,0.064031696
Cercam,0.089716824,0.999574161,0.196637219,0.712711909,3.393665784,1.30608E-14
Zfp597,-0.088440788,0.999574161,0.186199693,0.613471163,-0.603053126,0.135569748
Tbc1d2,-0.130000352,0.999574161,-0.324643971,0.58662346,2.353827462,2.9987E-05
Slc44a3,0.041088829,0.999574161,-0.782673593,0.230359477,0.292587443,0.790041552
Neurl2,-0.266986837,0.999574161,-0.612462569,0.221410564,-0.444950097,0.571974227
Txlnb,0.601656989,0.632730681,0.400148096,0.318021308,1.528447353,0.000351388
Fgl2,0.760319882,0.68851294,-0.356104008,0.533434048,-0.034867952,0.971745229
Slc26a11,-0.343123403,0.999574161,-1.71437545,1.26293E-08,0.466938055,0.358750145
Spsb1,-0.09307494,0.999574161,0.438575549,0.573644437,2.388882851,0.001844006
Urb1,-0.121671824,0.999574161,1.967021644,6.39188E-21,-0.699821294,0.022554702
Gsap,0.14896872,0.999574161,-0.776343644,0.002365409,0.716020066,0.043080752
Dag1,0.028543787,0.999574161,-0.441311504,0.161955741,0.199446851,0.706596077
Stk32a,0.377541328,0.999574161,-0.210322095,0.846988501,-0.248020363,0.860058757
Hip1,0.449138613,0.872308815,0.691612632,0.029490009,-1.031182969,0.01193904
Zc3h12d,-0.007101426,0.999574161,-0.775571959,3.21715E-05,0.440297539,0.112194441
Sinhcaf,-0.177412664,0.999574161,1.282381321,1.79279E-09,-1.273790443,5.67872E-06
Ifi203,-0.09667226,0.999574161,-0.569027485,0.003010048,-0.455173111,0.096770351
Bahd1,-0.048833353,0.999574161,-0.452496106,0.113532348,0.109607448,0.834032012
Slc7a5,0.184873744,0.999574161,2.568078274,2.15409E-36,-1.080751151,0.00011548
Saa4,0.174588033,0.999574161,-0.550949166,0.526636256,1.431685934,0.148740271
Stat2,0.190993561,0.999574161,-0.414086301,0.058758697,-0.062997671,0.877805471
Nup43,-0.154903181,0.999574161,1.85844699,3.32739E-11,-1.066859735,0.007448938
Disp2,-0.290744303,0.999574161,-0.72859069,0.488081638,2.06507992,0.080579411
Ndufb10,-0.041925876,0.999574161,0.95940443,1.39013E-05,-0.774331476,0.01189193
Baz2a,0.011133166,0.999574161,-0.8951238,0.000314756,0.255380033,0.560622986
Plcb2,-0.172121923,0.999574161,-1.056328601,5.304E-09,0.488465207,0.069586541
Ptges3-ps,0.345413077,0.999574161,2.226899871,3.1291E-11,-1.56308708,0.00068399
Bmf,-0.63604306,0.399690942,-0.817877341,0.011094423,-0.2537422,0.657397151
Cacna2d1,0.21259028,0.999574161,-0.745994891,0.519663829,1.84874623,0.164440449
Zmym5,-0.014357261,0.999574161,-0.490197088,0.005434635,-0.159582122,0.607339762
Abcc8,-0.02970596,0.999574161,-3.218515153,0.182311273,6.494849254,NA
Tdrd6,-0.844070919,0.999574161,-0.352555716,0.914539858,4.134197062,NA
Thbs1,-0.034448972,0.999574161,-0.636416392,0.435024362,1.193677477,0.236420343
Tax1bp3,-0.177337175,0.999574161,-0.726710658,0.003154458,0.512958331,0.156290549
Fmo1,0.025903653,0.999574161,-0.619929396,0.000830185,0.077022132,0.837630454
Ttc12,-0.230968806,0.999574161,-0.016372253,0.991219235,0.46788793,0.812212349
Gpr34,0.409134077,0.999574161,0.087368235,0.868374149,-0.84002555,0.074092898
Tm7sf3,0.012270274,0.999574161,-0.264422967,0.472092348,2.005583763,1.61985E-08
Tbc1d10c,-0.201869334,0.999574161,-1.092809945,2.02582E-05,-0.083190018,0.875290264
Lrp1,0.591821668,0.999574161,-1.026561541,0.048895907,0.874408909,0.246494282
Gbp7,0.291743837,0.940637416,-0.606069307,0.006715854,-0.136699102,0.744879685
Sema3d,-0.045365633,0.999574161,-0.2723629,0.722146871,0.27713861,0.790266237
Klhdc4,0.008594509,0.999574161,1.966985367,3.60915E-20,-0.005239799,0.991377646
Gbp2b,0.663022952,0.999574161,2.713643469,1.07951E-05,-1.030159456,0.297211672
Mrps28,-0.000834485,0.999574161,1.880287813,2.91138E-10,-0.332006538,0.54284984
Bach2,-0.174459036,0.999574161,-2.143412835,1.69481E-15,1.010317845,0.008624635
Cdk6,-0.270668893,0.989002519,1.323528816,2.7689E-11,-0.485601868,0.110238743
Pacsin1,0.058849212,0.999574161,-0.75178702,0.002591591,-0.388412397,0.327315704
Ndufa4l2,-0.412632788,0.999574161,2.597941371,0.009730237,-1.796286657,0.25163928
Ddx58,-0.121026239,0.999574161,-0.938247252,1.50827E-08,-0.060290956,0.862875523
Alx4,-0.1256996,0.999574161,-0.590212154,0.423690966,1.710773295,0.039090304
Slc25a24,0.092750797,0.999574161,-0.988136292,6.3328E-05,0.712873472,0.041660972
Gm15429,-0.307049838,0.999574161,-0.23964331,0.748152854,0.099804404,0.926158922
Tex45,-1.058723975,0.999574161,0.896442315,0.667775346,2.70080572,NA
Arhgap9,-0.140488547,0.999574161,-1.231998404,9.46174E-19,0.207709877,0.392062444
Trim7,0.079530279,0.999574161,-1.228390004,1.08238E-06,3.075344363,2.55869E-24
Mars1,-0.025413967,0.999574161,2.030571839,7.653E-16,-0.606883261,0.119803474
Bcor,-0.047442344,0.999574161,-0.234638276,0.356986686,-0.308251495,0.366682353
Ppp1ca,-0.257433054,0.999574161,0.466968822,0.097934058,-0.610579812,0.101706583
Wdr47,-0.102585175,0.999574161,-1.010656452,1.94455E-06,0.252411157,0.502493963
Abhd13,-0.131907895,0.999574161,0.789088764,0.012583072,-0.609435167,0.185847123
Havcr1,0.300004789,0.999574161,1.854081851,2.63466E-06,-0.16213883,0.843798398
Dtx3,-0.279740579,0.883797316,-0.479174111,0.016888959,0.217812246,0.517110971
Pitpnc1,0.168840304,0.999574161,-1.361420389,9.2768E-14,1.650537268,4.71668E-13
Zbtb38,0.136729214,0.999574161,-0.679142217,0.007652441,0.148981188,0.755174754
Slc26a10,-0.053463808,0.999574161,-0.251125607,0.481669921,-0.270416903,0.594402577
Spns2,-0.227222558,0.999574161,-2.978483713,8.12109E-31,-0.306630536,0.534410377
Sgms1,-0.13312201,0.999574161,-1.151195016,2.20675E-08,1.060894504,0.000109703
Mybbp1a,0.172356336,0.999574161,2.209996537,4.08771E-30,-0.458708484,0.131706942
Blvrb,0.192223339,0.999574161,-0.435498872,0.172467255,-0.564924514,0.18568313
Xaf1,-1.156631236,0.005372245,-0.692383689,0.061077245,0.321000368,0.603933068
Ltbp4,-0.732377933,0.915364898,0.728743872,0.213830316,0.832746883,0.309793822
Marchf9,-0.205179601,0.999574161,-0.008374707,0.991104738,-0.329330612,0.72849436
Manea,-0.065949492,0.999574161,-0.216450774,0.241772844,-0.090278013,0.77044824
Tlr8,0.773627885,0.552225806,0.200432811,0.733020231,-0.477889032,0.493785219
Abhd11,-0.207646276,0.999574161,1.519001864,2.30963E-06,-0.302723976,0.611297884
Matn1,1.777678902,0.89576735,2.472994381,0.043128409,4.189456162,0.002161527
Ctdsp2-ps,0.139988991,0.999574161,-0.932774749,0.010938286,0.452364467,0.44394443
Pitpnm3,-1.005659307,0.999574161,-0.457788675,0.792658883,0.938331609,0.663376685
Mettl27,-0.456166356,0.999574161,-0.928987144,0.193368593,1.710073599,0.052472053
Wdr7,-0.053781112,0.999574161,-0.751873047,1.80406E-05,0.282028914,0.323489189
Apoc1,-0.621831738,0.999574161,-0.867748599,0.209915041,0.240411281,0.845846207
Abcb1a,1.050350107,0.259753451,0.204824968,0.766960578,-0.064626129,0.94925433
Cd79b,-0.367402941,0.93754633,-0.248779813,0.468386549,-0.63664372,0.107726039
Pogk,-0.306541055,0.999574161,2.719354528,4.84859E-27,-0.784873427,0.037440067
Nlrp4a,0.290237991,0.999574161,-0.335020637,0.821597296,0.002283241,0.999092715
Bace2,-0.851267981,0.999574161,-0.768685682,0.605572046,0.851619962,0.685445671
Pck2,-0.067656077,0.999574161,-0.742280376,0.000353403,-0.168891516,0.660471265
Aicda,0.709757427,0.999574161,-0.28472272,0.789985168,-0.432361674,0.753741718
Dok4,-0.06008197,0.999574161,0.164060727,0.719728179,-0.623002531,0.21382911
Ppp1r14c,0.161676491,0.999574161,-1.332982042,0.097889965,1.06070868,0.364114142
Clcf1,-0.114346188,0.999574161,-1.083768011,3.22826E-05,0.395223396,0.355881848
Sh3bgr,0.180640386,0.999574161,-0.04007497,0.978218248,1.609209084,0.155276902
Phc1,-0.294868102,0.999574161,-0.033703214,0.942832369,-0.273288125,0.533475284
Mthfd1l,-0.087701729,0.999574161,1.74431367,2.66946E-26,-0.332634998,0.213885015
Hmgn1,-0.038788426,0.999574161,1.157422267,7.77687E-05,-0.877605043,0.033967228
Madd,-0.03718756,0.999574161,-0.809355589,0.000350172,0.425459135,0.222340616
Tbl3,-0.170481375,0.999574161,2.146055314,2.62639E-25,-0.844477965,0.004219656
Col16a1,-0.286556943,0.999574161,0.416143627,0.717888205,0.561050833,0.716012039
Limd2,-0.229887834,0.999574161,-0.043043629,0.913261808,-0.772199777,0.013895188
St8sia4,-0.229295652,0.999574161,-0.599124332,0.002520579,-0.521111051,0.06131332
Sh3pxd2b,-0.101261846,0.999574161,-1.320747045,0.276848224,3.206442811,0.02442149
Camta2,0.059832853,0.999574161,-0.396736025,0.138079869,0.063079425,0.899236651
Creg1,0.52184202,0.702411363,-0.41733619,0.233284102,0.091157375,0.881153738
Klc3,-0.042887565,0.999574161,-0.598221486,0.44389869,0.161462582,0.900517657
Rsc1a1,-2.136088248,0.999574161,0.936354531,0.907655199,-6.18801361,0.444933693
Scamp5,0.658130887,0.789468782,-0.534070941,0.282057833,0.392535474,0.603012063
Kcna2,0.393584908,0.999574161,-0.676018097,0.141852592,0.396253093,0.589426126
Cep126,1.867545709,0.999574161,2.81894215,0.105148793,-0.252850997,0.93550874
Ppp1r13l,0.380335034,0.999574161,1.340751397,0.105643972,1.859760935,0.076658383
Rnf167,-0.608078067,0.683668096,-0.28016975,0.536606276,0.315616095,0.615750949
Cd53,-0.166706143,0.999574161,0.235883967,0.576413482,-1.423792511,0.000615373
Lat2,-0.138387601,0.999574161,-0.911396084,0.00072341,-0.243596078,0.616638351
Myh6,-0.011798277,0.999574161,-1.253267033,0.809541706,5.964000497,NA
Cept1,-0.001768953,0.999574161,0.184098879,0.541473584,-0.565492285,0.090230962
Iqsec3,0.120253882,0.999574161,-0.587123551,0.555783916,1.383163353,0.232386501
S100g,-0.513671973,0.999574161,-2.060642509,0.006360699,1.338948025,0.238025929
Chil3,0.985424561,0.999574161,0.168376795,0.907655199,-0.549818667,0.739434712
Tex264,0.101253896,0.999574161,0.145331941,0.528375876,-0.519582183,0.038560275
Dennd6a,-0.189995372,0.999574161,-0.179594221,0.426869841,-0.418352033,0.11592831
Snrpd2,-0.175332591,0.999574161,1.44052748,0.000174905,-0.70959514,0.2350554
Gpr161,-0.062603755,0.999574161,-0.430920978,0.514092647,0.069061109,0.951040844
Gm11639,-0.622210806,0.999574161,1.779054029,0.33431691,0.962030265,NA
Reps2,0.222047551,0.999574161,-0.716272844,0.258184727,0.485020713,0.620446872
Dlk1,-0.528618152,0.999574161,0.626051937,0.760431856,2.189381688,0.328962075
Begain,-0.240962203,0.999574161,-0.764001165,0.145212599,0.51378572,0.531744103
Gfer,-0.052988128,0.999574161,1.939629145,2.52847E-10,0.810791682,0.077833397
Foxa3,0.722271241,0.999574161,0.538582372,0.755177048,0.964085674,0.650465193
Kcnd3,-1.169342195,0.999574161,1.144028583,0.418543527,1.079572081,0.60588516
Slc19a2,0.032622287,0.999574161,0.830402403,0.02593809,4.810856762,3.40025E-32
Rfx3,-0.300734279,0.961581296,-0.800075459,0.000424312,0.411640573,0.242875093
Padi6,-1.494469935,0.999574161,1.280207525,0.380043881,2.124984232,0.275504838
Arhgef1,0.062248917,0.999574161,-1.342403846,2.42609E-08,0.684724645,0.052472053
Cables1,0.154498059,0.999574161,1.114936003,0.118361347,0.973475286,0.345888341
Arhgef10l,-0.748955792,0.999574161,-0.565642732,0.473738271,1.5273647,0.090636442
Sh3kbp1,0.011911226,0.999574161,-1.061551888,1.1735E-11,-0.157249999,0.592303934
Abhd4,0.206178435,0.999574161,-0.669519803,0.051059063,2.685731686,1.44737E-12
Npnt,-0.675185005,0.999574161,0.460087398,0.655965995,0.560067723,0.691413384
Trim62,0.049610185,0.999574161,-1.047874965,0.107207379,1.089694637,0.225562009
Iffo2,0.021872874,0.999574161,-0.531808148,0.064008997,0.193704289,0.700727598
Ramp3,0.816627124,0.999574161,1.756989563,0.547731136,3.124081857,0.352080428
Slc7a13,-0.503577159,0.999574161,-0.456874128,0.646847231,1.984029773,0.052472053
